,_id,ltable_id,rtable_id,ltable_product title,ltable_combo,rtable_product title,rtable_combo
1275,1275,a1356,w2416,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,2017 lenovo thinkpad x1 carbon (5th gen) - windows 10 pro - intel core i7-7500u 256gb ssd 8gb ram 14 wqhd ips (2560x1440) display fingerprint reader (classic black),2017 lenovo thinkpad x1 carbon (5th gen) - windows 10 pro - intel core i7-7500u 256gb ssd 8gb ram 14 wqhd ips (2560x1440) display fingerprint reader (classic black) lenovo 2017
1280,1280,a1356,w2985,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i7-6500u 180gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i7-6500u 180gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo 
1289,1289,a1356,w3029,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 512gb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 512gb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo 
1290,1290,a1356,w3044,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i7-6600u 180gb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i7-6600u 180gb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo 
1293,1293,a1356,w3055,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 1tb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 1tb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo 
1305,1305,a1356,w3116,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 128gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 128gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo 
1312,1312,a1356,w3151,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 180gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 180gb ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo 
1343,1343,a1356,w3248,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 256gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo 
1365,1365,a1356,w3337,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo 
1369,1369,a1356,w3341,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 1tb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo 
1395,1395,a1356,w3422,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo 
1398,1398,a1356,w3440,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 8gb ram 2tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 8gb ram 2tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo 
1402,1402,a1356,w3445,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 2tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 2tb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo 
1408,1408,a1356,w488,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 yoga multimode ultrabook - windows 10 pro - intel i7-7600u 256gb ssd 16gb ram 14 wqhd ips (2560x1440) touchscreen pen input fingerprint reader thin & light - silver,lenovo thinkpad x1 yoga multimode ultrabook - windows 10 pro - intel i7-7600u 256gb ssd 16gb ram 14 wqhd ips (2560x1440) touchscreen pen input fingerprint reader thin & light - silver lenovo 
1425,1425,a1356,w528,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 1tb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo ,lenovo thinkpad x1 yoga 4g lte multimode ultrabook - windows 10 pro - intel i7-7600u 512gb ssd nvme-pcie 16gb ram 14 wqhd ips 2560x1440 touchscreen w/ pen input fingerprint reader - black,lenovo thinkpad x1 yoga 4g lte multimode ultrabook - windows 10 pro - intel i7-7600u 512gb ssd nvme-pcie 16gb ram 14 wqhd ips 2560x1440 touchscreen w/ pen input fingerprint reader - black lenovo 
1438,1438,a1364,w3101,asus zenbook 3 deluxe ux490ua-xh74-bl 14 ultrabook (intel 8th gen i7 quad core 16gb ram 512gb ssd 14 1920 x 1080 glossy display wifi bluetooth thunderbolt win 10 pro),asus zenbook 3 deluxe ux490ua-xh74-bl 14 ultrabook (intel 8th gen i7 quad core 16gb ram 512gb ssd 14 1920 x 1080 glossy display wifi bluetooth thunderbolt win 10 pro) michaelelectronics2 ,asus zenbook 3 deluxe ux490ua-xh74-bl premium 14 ultrabook (intel 8th gen i7 quad core 16gb ram 512gb ssd 14 1920 x 1080 glossy display wifi bluetooth thunderbolt win 10 pro),asus zenbook 3 deluxe ux490ua-xh74-bl premium 14 ultrabook (intel 8th gen i7 quad core 16gb ram 512gb ssd 14 1920 x 1080 glossy display wifi bluetooth thunderbolt win 10 pro) michaelelectronics2 asu-14-07059-fhd-me1
1471,1471,a1396,w3200,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader lenovo thinkpad p51,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 128gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 128gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo 
1489,1489,a1396,w3319,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader lenovo thinkpad p51,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader lenovo 
1493,1493,a1396,w3373,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader lenovo thinkpad p51,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo 
1500,1500,a1396,w3454,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader,lenovo thinkpad p51 touch workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu smart card reader lenovo thinkpad p51,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 8gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader,pcie touch lenovo thinkpad t460s windows 10 pro laptop - intel core i7-6600u 8gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader lenovo 
1532,1532,a1416,w3142,lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64),lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64) lenovo 20jm000bus,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 8gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo 
1534,1534,a1416,w3167,lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64),lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64) lenovo 20jm000bus,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 12gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 12gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo 
1565,1565,a1416,w3380,lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64),lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64) lenovo 20jm000bus,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo 
1567,1567,a1416,w3389,lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64),lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64) lenovo 20jm000bus,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo 
1572,1572,a1416,w3450,lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64),lenovo thinkpad t470 business laptop - 20jm000bus (14” fhd ips intel core i7-6500u 2.50ghz 8gb ddr4 backlit keyboard fingerprint reader windows 7/10 pro 64) lenovo 20jm000bus,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 8gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 8gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo 
1579,1579,a1419,w711,2018 premium dell inspiron 15 3000 15.6 inch touchscreen laptop computer (intel core i5-7200u 2.5ghz 8gb ddr4 ram 512gb ssd maxxaudio sound intel hd graphics 620 wifi hd webcam windows 10),2018 premium dell inspiron 15 3000 15.6 inch touchscreen laptop computer (intel core i5-7200u 2.5ghz 8gb ddr4 ram 512gb ssd maxxaudio sound intel hd graphics 620 wifi hd webcam windows 10) dell dell,2018 flagship dell inspiron 15.6 hd premium touchscreen laptop - intel dual core i5-7200u 2.5ghz 8gb ddr4 2tb hdd maxxaudio dvdrw bluetooth wlan hdmi webcam 3-in-1 card reader windows 10,2018 flagship dell inspiron 15.6 hd premium touchscreen laptop - intel dual core i5-7200u 2.5ghz 8gb ddr4 2tb hdd maxxaudio dvdrw bluetooth wlan hdmi webcam 3-in-1 card reader windows 10 dell 
1580,1580,a1419,w958,2018 premium dell inspiron 15 3000 15.6 inch touchscreen laptop computer (intel core i5-7200u 2.5ghz 8gb ddr4 ram 512gb ssd maxxaudio sound intel hd graphics 620 wifi hd webcam windows 10),2018 premium dell inspiron 15 3000 15.6 inch touchscreen laptop computer (intel core i5-7200u 2.5ghz 8gb ddr4 ram 512gb ssd maxxaudio sound intel hd graphics 620 wifi hd webcam windows 10) dell dell,2018 hp 15.6'' hd touchscreen laptop intel dual core i5-7200u processor up to 3.1ghz 8gb ddr4 ram 1tb hdd hdmi hd graphics 620 dts studio sound dvd burner windows 10,2018 hp 15.6'' hd touchscreen laptop intel dual core i5-7200u processor up to 3.1ghz 8gb ddr4 ram 1tb hdd hdmi hd graphics 620 dts studio sound dvd burner windows 10 hp 2018
1586,1586,a1422,w364,premium 2018 newest hp envy x360 15.6 inch fhd flagship touchscreen laptop (amd quad-core ryzen 5 2500u 16gb ddr4 ram 512gb ssd + 1tb hdd backlit keyboard b&o speakers hd webcam windows 10),premium 2018 newest hp envy x360 15.6 inch fhd flagship touchscreen laptop (amd quad-core ryzen 5 2500u 16gb ddr4 ram 512gb ssd + 1tb hdd backlit keyboard b&o speakers hd webcam windows 10) hp hp,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 1tb hdd + 512gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 16gb ram 1tb hdd + 512gb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 hp-15-02395-fhd-me25
1650,1650,a1437,w434,cuk hp envy x360 15z convertible touch notebook (amd ryzen 5 2500u + amd radeon vega 8 16gb ram 256gb nvme ssd + 1tb hdd 15.6” fhd touch display windows 10 home) touchscreen 2-in-1 laptop computer,cuk hp envy x360 15z convertible touch notebook (amd ryzen 5 2500u + amd radeon vega 8 16gb ram 256gb nvme ssd + 1tb hdd 15.6” fhd touch display windows 10 home) touchscreen 2-in-1 laptop computer computer upgrade king 15z,hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro),hp envy x360 15z premium yoga style 2-in-1 convertible laptop (amd ryzen 5 quad core apu radeon vega 8 32gb ram 2tb hdd + 1tb ssd 15.6 fhd 1920x1080 touchscreen backlit keyboard win 10 pro) michaelelectronics2 hp-15-02395-fhd-me28
1657,1657,a1480,w2363,hp 17.3 hd+ notebook intel core i7-7500u processor 8gb memory 2tb hard drive dvd drive hd webcam 2 year warranty care pack,hp 17.3 hd+ notebook intel core i7-7500u processor 8gb memory 2tb hard drive dvd drive hd webcam 2 year warranty care pack hp ,hp 17.3 hd+ notebook intel core i7-7500u processor 8gb memory 2tb hard drive dvd drive hd webcam 2 year warranty care pack,hp 17.3 hd+ notebook intel core i7-7500u processor 8gb memory 2tb hard drive dvd drive hd webcam 2 year warranty care pack hp 2kw14ua#aba
1671,1671,a1549,w3183,lenovo thinkpad t470p 14 high performance laptop pc (intel i7 quad core nvidia geforce 940mx 14 inch fhd (1920x1080) ips display 32gb ram 512gb ssd fingerprint win 10 pro),lenovo thinkpad t470p 14 high performance laptop pc (intel i7 quad core nvidia geforce 940mx 14 inch fhd (1920x1080) ips display 32gb ram 512gb ssd fingerprint win 10 pro) michaelelectronics2 ,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo 
1673,1673,a1549,w3196,lenovo thinkpad t470p 14 high performance laptop pc (intel i7 quad core nvidia geforce 940mx 14 inch fhd (1920x1080) ips display 32gb ram 512gb ssd fingerprint win 10 pro),lenovo thinkpad t470p 14 high performance laptop pc (intel i7 quad core nvidia geforce 940mx 14 inch fhd (1920x1080) ips display 32gb ram 512gb ssd fingerprint win 10 pro) michaelelectronics2 ,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo 
1688,1688,a1559,w3026,hp spectre x360 15t 2-in-1 convertible laptop pc (7th gen intel i7 kaby lake processor 16gb ram 512gb ssd 15.6 inch uhd (3840 x 2160) 4k touch win10 nvidia 940mx thunderbolt) dark ash silver,hp spectre x360 15t 2-in-1 convertible laptop pc (7th gen intel i7 kaby lake processor 16gb ram 512gb ssd 15.6 inch uhd (3840 x 2160) 4k touch win10 nvidia 940mx thunderbolt) dark ash silver hp t8tjg,hp spectre x360 13t premium convertible ultrabook laptop in dark ash silver (intel i7 processor 16gb ram 512gb ssd thunderbolt 3 13.3 fhd (1920x1080) touchscreen active stylus pen win 10 home ),hp spectre x360 13t premium convertible ultrabook laptop in dark ash silver (intel i7 processor 16gb ram 512gb ssd thunderbolt 3 13.3 fhd (1920x1080) touchscreen active stylus pen win 10 home ) michaelelectronics2 hp-13-02365-fhd-me2
1692,1692,a1559,w784,hp spectre x360 15t 2-in-1 convertible laptop pc (7th gen intel i7 kaby lake processor 16gb ram 512gb ssd 15.6 inch uhd (3840 x 2160) 4k touch win10 nvidia 940mx thunderbolt) dark ash silver,hp spectre x360 15t 2-in-1 convertible laptop pc (7th gen intel i7 kaby lake processor 16gb ram 512gb ssd 15.6 inch uhd (3840 x 2160) 4k touch win10 nvidia 940mx thunderbolt) dark ash silver hp t8tjg,hp spectre x360 15t premium convertible 2-in-1 laptop in dark ash silver (intel 8th gen i7 quad core 16gb ram 256gb ssd nvidia geforce mx150 15.6 4k uhd 3840x2160 touch stylus pen win 10 home),hp spectre x360 15t premium convertible 2-in-1 laptop in dark ash silver (intel 8th gen i7 quad core 16gb ram 256gb ssd nvidia geforce mx150 15.6 4k uhd 3840x2160 touch stylus pen win 10 home) michaelelectronics2 hp-15-02370-uhd-me2
