id,product title,price,average battery life,brand,display resolution,hard disk size,laptop computer type,operating system,processor (cpu) manufacturer,processor count,processor speed,ram size,screen size
a700,2017 High Performance Dell Business Flagship Laptop PC 15.6 HD LED-Backlit Display Intel i7-7500U Processor 8GB DDR4 RAM 512GB SSD DVD-RW HDMI Bluetooth Windows 10 Professional-Black,$734.99,8 hours,Dell,1366x768,512 GB,PC,Windows 10 professional,2.7 GHz Intel Core i7,2,2.7 GHz,8 GB,15.6in
a701,Dell Latitude E7470 Business Ultrabook 14 Inch i7-6600U 16GB DDR4 Windows 10 Pro (256G),$1449.99,,Dell,1366x768,512 GB,PC,Windows 10,2.6 GHz Intel Core i7,2,2.6 GHz,16 GB,14in
a702,Samsung Spin 2-in-1 Touchscreen Flagship Premium 15.6 FHD Gaming Laptop PC| Intel Core i7-7500U| NVIDIA GeForce 940MX Graphics| 16GB RAM| 1TB HDD| HDMI| Stereo Speakers| Webcam| Windows 10,$919.00,,Samsung,1920 x 1080,1 TB,PC,Windows 10,2.7 GHz Intel Core i7,4,2.7 GHz,12 GB,15.6in
a703,HP Elitebook 850 G4 15.6 Notebook Windows Intel Core i7 2.7 GHz 16 GB RAM 512 GB SSD  Silver (1BS53UT#ABA),$1653.37,14.25 hours,HP,3840 x 2160 pixels,512.0,Windows,Windows 10 Pro 64-bit Edition,2.7 GHz Core i5-760,2,2.7 GHz,16 GB,15.6in
a704,2018 Lenovo ideapad 320 15.6 Laptop Windows 10 Intel Celeron N3350 Dual-Core Processor up to 2.4GHz 4GB RAM 1TB Hard Drive DVD-RW WIFI Bluetooth Webcam (Denim Blue),$287.95,,Lenovo-ideapad-320,,1 TB,PC,Windows 10,1.1 GHz Celeron N3000,2,1.1 GHz,4 GB,15.6in
a705,Lenovo Flex 4 - 2-in-1 Laptop/Tablet 14.0 Full HD Touchscreen Display (Intel Core i7-7500U 8GB 1TB HDD AMD Radeon R5 M430 Windows 10) Black 80VD000CUS,$799.99,9 hours,Lenovo,1920x1080 pixels,1000 GB,PC,Windows 10,2.7 GHz Intel Core i7,2,2.7 GHz,8 GB,14in
a706,2017 Dell Inspiron 15.6? Full HD Touchscreen Signature Flagship laptop Intel Core i5-6200U 2.30 GHz 8GB DDR3L 1TB HDD 802.11AC/a/b/g/n Bluetooth HDMI DVD/RW Win 10 - Silver,$578.00,,Dell,1920 x 1080 (1080P Full HD),1 TB,PC,Windows 10,2.3 GHz Intel Core i5,1,2.3 GHz,8 GB,15.6in
a707,Samsung Notebook Odyssey Traditional Laptop Storm White 15.6 (NP800G5M-X02US),$1302.31,,Samsung,1920x1080 pixels,256.0,PC,Windows 10,2.8 GHz,4,2.8 GHz,16 GB,15.6in
a708,HP Zbook 15u G4 Workstation 15.6 Notebook Windows Intel Core i7 2.7 GHz 16 GB RAM 512 GB SSD AMD FirePro W4190M  Space Silver (1BS35UT#ABA),$1280.49,,HP,1920 x 1080 pixels,512.0,Windows,Windows 10 Pro 64-bit Edition,2.7 GHz Core i5-430UM,2,2.7 GHz,16 GB,15.6in
a709,2017 Dell High Performance Business Flagship Laptop PC 15.6 LED-Backlit Display Intel i7-7500U Processor 8GB DDR4 RAM 1TB HDD DVD-RW HDMI Webcam Bluetooth Windows 10 Pro-Black,$638.85,,Dell,1366x768,1 TB,PC,Windows 10 Pro,2.7 GHz Intel Core i7,4,2.7 GHz,8 GB,15.6in
a710,2018 Lenovo Thinkpad Flagship T470 Business Laptop 14 inch FHD anti-glare Display Intel Core i7-7600U (Up to 3.9GHz) 8GB DDR4 Memory 256GB Solid State Drive Windows 10 Pro,$1099.99,,Lenovo Thinkpad Flagship,,256 GB,PC,Windows 10,2.3 GHz Intel Core i7,2,2.3 GHz,8 GB,
a711,Acer Predator Helios 300 Gaming Laptop: Core i7-7700HQ GeForce GTX 1060 6GB 17.3 Full HD 16GB DDR4 256GB SSD + 1TB HDD Backlit Keyboard VR Ready,$1398.00,,Acer,1920 x 1080,256 GB,PC,Windows 10,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,17.3in
a712,Lenovo ThinkPad P51s Mobile Workstation with Intel i7-7500U 16GB 512GB SSD (20HB001VUS),$1560.19,,Lenovo,1920 x 1080 pixels,512,,Windows 10 Pro,2.7 GHz 8032,1,2.7 GHz,16 GB,15.6in
a713,ASUS X541UA-WB71T-RD Vivo Book X541UA HD Touch Laptop Intel Core i7 2.7 GHz Processor 8GB DDR4 RAM 1TB HDD Windows 10 15 Red,$629.49,,Asus,1366x768 pixels,1000 GB,,Windows 10 Home,2.7 GHz Intel Core i7,2,2.7 GHz,8 GB,15.6in
a714,Lenovo IdeaPad 110 15.6 High performance HD Touchscreen Laptop - Quad Core AMD A8-7410 Up to 2.5GHz 8GB DDR3 1TB HDD DVDRW WLAN Bluetooth USB 3.0 Webcam HDMI Windows 10,$419.00,5 hours,Lenovo,1366x768,1 TB,PC,Windows 10,2.5 GHz AMD A Series,4,2.5 GHz,8 GB,15.6in
a715,Samsung Spin 2-in-1 13.3 Full HD Touchscreen Flagship High Performance Laptop PC | Intel Core i5-7200U | 12GB RAM | 1TB HDD | HDMI | Bluetooth | Windows 10 | Platinum Silver,$694.00,,Samsung,1920 x 1080,1 TB,PC,Windows 10,2.5 GHz Intel Core i5,4,2.5 GHz,8 GB,13.3in
a716,2017 Samsung 15.6 Full HD (1920x1080) Notebook 7 Spin 2-in-1 High Performance TouchScreen Laptop Intel Core i7-7500U 12GB DDR4 1TB HDD NVIDIA GeForce 940MX Backlit Keyboard Windows 10,$788.99,,Samsung,1920 x 1080 (Full HD),1 TB,PC,Windows 10,2.7 GHz Intel Core i7,2,2.7 GHz,12 GB,15.6in
a717,2018 FHD 1080p Dell Inspiron 15 5000 15.6 Inch Touchscreen Flagship Laptop (Intel Core i5-8250U up to 3.4GHz 16GB RAM 256GB SSD + 1TB HDD Intel HD Graphics 620 DVD HD Webcam Windows 10),$849.00,,Dell,1920x1080,256 GB,PC,Windows 10,1.6 GHz Intel Core i5,2,1.6 GHz,16 GB,15.6in
a718,Lenovo IdeaPad 300 17.3 HD+ Flagship Laptop Intel Core i5-6200U 8GB DDR3L 1TB HDD 802.11ac Bluetooth Webcam HDMI DVD-RW Win 10 - Black,$567.00,4 hours,Lenovo,1600 X 900,1 TB,PC,Windows,2.3 GHz Intel Core i5,2,2.3 GHz,8 GB,17.3in
a719,Dell Inspiron 15 5000 Series 5566 15.6 HD Business Laptop ( 2018 Edition ) - Intel Core i7-7500U Processor - 16GB DDR4 RAM - 512GB SSD - DVDRW - WiFi+Bluetooth - Windows 10 Professional,$896.00,,Dell,,512 GB,PC,Windows 10,3.5 GHz Intel Core i7,2,3.5 GHz,16 GB,15.6in
a720,HP ZBook 15 G4 Mobile Workstation - Xeon E3-1505MV6 / 3 GHz - Win 10 Pro 64-bit - 16 GB RAM - 512 GB SSD HP Z Turbo Drive G2 NVMe TLC - 15.6 1920 x 1080 (Full HD) - Quadro M2200 / HD Graphics P630,$2004.18,,,,0 GB,,Unknown,Unknown,1,0 MHz,0 GB,15.6in
a721,Acer Spin 5 8th Gen Intel Core i5-8250U 13.3 Full HD Touch 8GB DDR4 256GB SSD Windows 10 Home SP513-52N-5621,$744.99,13 hours,Acer,1920 x 1080 pixels,256.0,,Windows 10 Home,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,13.3in
a722,CUK ASUS ROG GL703VD Gamer Laptop (Intel Quad Core i7-7700HQ 32GB RAM 512GB NVMe SSD + 1TB HDD NVIDIA Geforce GTX 1050 4GB 17 Full HD Windows 10) Gaming Notebook Computer,$1499.99,,Computer Upgrade King,,1512 GB,PC,Windows 10 Home,2.8 GHz Intel Core i7,4,2.8 GHz,32 GB,17.3in
a723,Lenovo 80Y70062US Yoga 920 (14) 2-in-1 Notebook PC 13.9,$2099.99,,Lenovo,3840x2160 pixels,1024 GB,,Windows 10 Pro,1.8 GHz Intel Core i7,4,1.8 GHz,16 GB,13.9in
a724,HP 1NW56UT  Laptop 250 G6 Intel Core i5 7th Gen 7200U (2.50 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 620 15.6 Windows 10 Pro 64-Bit,$494.96,12 hours,HP,,0 GB,,Unknown,8032,2,0 MHz,0 GB,15.6in
a725,2018 Newest Premium HP Business Flagship Laptop PC 17.3 HD+ WLED-backlit Display Intel i7-7500U Processor 16GB DDR4 RAM 2TB HDD Intel 620 Graphics DVD-RW 802.11AC Wifi Webcam HDMI Windows 10-Black,$779.00,,HP,1600x900,2 TB,PC,Windows 10,2.7 GHz Intel Core i7,2,2.7 GHz,16 GB,17.3in
a726,Apple MacBook MJY42LL/A 12-Inch Laptop with Retina Display (Space Gray 512 GB) OLD VERSION,$1188.00,10 hours,Apple,2304x1440 pixels,512,Mac,Mac OS X,1.2 GHz Intel Core i3,1,1.2 GHz,8 GB,12in
a727,2018 Flagship Dell Inspiron 11.6 2-in-1 HD Touchscreen Convertible Laptop/Tablet - Intel Pentium N3710 Quad-Core up to 2.56GHz 8GB RAM 128GB SSD BluetoothHDMI WebcamMaxxAudio USB 3.0 Win 10,$499.00,,Dell,HD (1366 x 768),128 GB,PC,Windows 10,1.6 GHz Intel Pentium 4,2,1.6 GHz,6 GB,11.6in
a728,2017 Dell Premium High Performance Business Flagship Laptop PC 15.6 LED-Backlit Display Intel i7-7500U Processor 8GB DDR4 RAM 1TB HDD DVD-RW HDMI Webcam Bluetooth Windows 10 Pro-Black,$618.80,,Dell,1366x768,1 TB,PC,Windows 10 Pro,2.7 GHz Intel Core i7,2,2.7 GHz,8 GB,15.6in
a729,Lenovo ThinkPad T570 Laptop with Intel Core i5-6300U Processor 8GB DDR4 RAM 256GB SSD - 15.6 - Graphite Black - 20JW0006US,$1229.00,,Lenovo,1920x1080 pixels,256,PC,Windows 7 Professional,2.4 GHz 8032,1,2.4 GHz,8 GB,15in
a730,Dell XPS 13 9360 Ultrabook: 8th Generation Core i5-8250U 13.3in Full HD Touch Display 8GB RAM 128GB SSD Windows 10,$874.96,,Dell,,128 GB,PC,Windows 10,1.5 GHz Intel Core i5,4,1.5 GHz,8 GB,13.3in
a731,MSI GT73VR TITAN PRO-872 17.3 120Hz 5ms Display Extreme Gaming Laptop i7-7820HK GTX 1080 8G 32GB 1TB SSD + 1TB,$2999.00,,MSI,1920x1080 pixels,1024.0,PC,Windows 10 Pro,3.9 GHz Intel Core i7,4,3.9 GHz,32 GB,17.3in
a732,Lenovo Yoga 910 2-in-1 14 FHD IPS Touch-Screen Ultrabook Intel Core i7-7500U 8GB DDR4 RAM 256GB SSD Bluetooth 802.11ac Fingerprint Reader Backlit Keyboard No DVD -Windows10,$869.00,9 hours,Lenovo,1920 x 1080 (Full HD Touch),256 GB,PC,Windows 10,2.7 GHz Intel Core i7,2,2.7 GHz,8 GB,14in
a733,2018 HP 15.6 Inch Flagship Notebook Laptop Computer (Quad-Core AMD E2-7110 APU 1.8GHz 8GB RAM 128GB SSD AMD Radeon R2 WiFi HD Webcam Super DVD Burner Windows 10) Black,$429.00,,HP,,128 GB,PC,Windows 10,1.8 GHz AMD E Series,4,1.8 GHz,8 GB,15.6in
a734,2017 HP 15.6 Full HD IPS UWVA (1920 x 1080) Laptop: Intel 7th Gen i7-7500U 16GB DDR4 RAM AMD Radeon R7 4GB GPU 1TB HDD 802.11AC Windows 10 Home,$839.00,,HP,1920x1080,1 TB,PC,Windows 10,2.7 GHz Intel Core i7,2,2.7 GHz,16 GB,15.6in
a735,Dell Inspiron 2-in-1 15 I7579-5588GRY-PUS - 15.6 FHD Touch - i5-7200U - 8GB - 256GB SSD - Silver,$715.14,,Dell,,256 GB,PC,Windows 10,2.5 GHz Intel Core i5,4,2.5 GHz,12 GB,15.6in
a736,Dell Inspiron i5765-2764GRY 17.3 FHD Laptop (7th Generation AMD A12-9700P 8GB RAM 1TB HDD),$604.99,,Dell,1600X900 pixels,1000 GB,PC,Windows 10,2.5 GHz AMD A6,4,2.5 GHz,8 GB,17.3in
a737,Lenovo 15.6’’ HD LED Signature Laptop PC AMD Quad-Core FX-7500 2.10 GHz CPU 8 GB RAM 1 TB HDD DVD +/- RW Bluetooth HDMI Radeon R7 Graphics Dolby Audio Windows 10-Black,$459.00,5 hours,Lenovo,,1 TB,PC,Android,2.5 GHz Athlon 2650e,2,2.5 GHz,8 GB,15.6in
a738,2018 Flagship Lenovo ideapad 320 15.6 HD LED Backlight Laptop- Intel Celeron N3350 Up to 2.4GHz 8GB DDR3 1TB HDD DVDRW 802.11ac HDMI Bluetooth Webcam 4-in-1 card reader USB 3.0 Win 10 - Coral Red,$359.00,8.5 hours,Lenovo IdeaPad,1366 x 768,1 TB,Home and Education HD Laptop,Windows 10 Home 64-Bit,1.1 GHz Intel Celeron,2,1.1 GHz,8 GB,15.6in
a739,2017 Samsung Chromebook 11.6’’ HD LED (1366 x 768) Display Intel Dual-Core Celeron 1.6GHz Processor 2GB RAM 16GB eMMC SSD Bluetooth WiFi HDMI Webcam Up to 11hrs Battery Life Chrome OS,$185.00,11 hours,Samsung,,16 GB,PC,Chrome OS,1.6 GHz Intel Celeron,2,1.6 GHz,2 GB,11.6in
a740,Apple MacBook Pro MLW72LL/A 15-inch Laptop with Touch Bar 2.6GHz quad-core Intel Core i7 256GB Retina Display Silver (Discontinued by Manufacturer),$2005.10,10 hours,Apple,2880x1800 pixels,256,Mac,Mac OS Sierra,2.6 GHz Intel Core i7,1,2.6 GHz,16 GB,15.4in
a741,Lenovo 15.6 ThinkPad P51 20JY0006US i7-6500U Mobile Workstation,$1193.06,,Lenovo,,256,,Unknown,8032,2,0 MHz,8 GB,15.6in
a742,Dell NH1DY Latitude 3580 15.6 HD Laptop (Intel Core i5-7200U 4GB DDR4 500GB Hard Drive Windows 10 Pro),$626.65,,Dell,1366X768 pixels,500 GB,,Windows 10 Pro,2.5 GHz 8032,2,2.5 GHz,4 GB,15.6in
a743,HP Probook 470 G4 17.3 Notebook Windows Intel Core i7 2.7 GHz 16 GB RAM 256 GB SSD Gray (Z1Z76UT#ABA),$1050.00,,HP,1920 x 1080 pixels,256.0,Windows,Windows 10 Pro 64-bit Edition,2.7 GHz 8032,2,2.7 GHz,16 GB,17.3in
a744,Lenovo IdeaPad 320-15IKB 15.6 Laptop Computer - Grey; Intel Core i5-7200U Processor 2.5GHz; Microsoft Windows 10 Home; 8GB DDR4 Onboard RAM; 1TB 5400RPM Hard Drive,$529.99,,Lenovo,1366x768,1 TB,PC,Windows 10,2.5 GHz Intel Core Duo,1,2.5 GHz,0 GB,15.6in
a745,Acer Chromebook 15 C910-3916 (15.6-inch Full HD IPS Intel Core i3 4GB 32GB SSD),$433.98,9 hours,Acer,1920 x 1080,32,,Chrome,2 GHz Core i3-5005U,2,2 GHz,4 GB,15.6in
a746,Microsoft Surface Book - 256GB / Intel Core i5,$879.99,,,,500,,Windows 10,Intel,4,,12 GB,13.5in
a747,Lenovo Thinkpad Yoga 11E 11.6 Touchscreen Convertible 2-in-1 Laptop Intel Core M-5Y10c 128GB SSD 4GB Memory 802.11ac Bluetooth HDMI Webcam Win 10 Professional,$459.01,11.5 hours,Lenovo,1366 x 768,128 GB,PC,Windows 10,0.8 GHz Intel Core 2 Duo,2,0.8 GHz,6 GB,11.6in
a748,Lenovo - 310-15ABR 15.6 Laptop - AMD A12-Series - 8GB Memory - 1TB Hard Drive,$404.99,,Lenovo,,,,,AMD,2,,6 GB,15.6in
a749,2018 Newest HP Pavilion Business Flagship Laptop Notebook PC 14 WLED-backlit Display Intel i5-7200U Processor 8GB DDR4 RAM 1TB HDD+240GB SSD Backlit-Keyboard Bluetooth Webcam B&O Audio Windows 10,$619.00,,HP,1366x768,240 GB,PC,Windows 10,2.5 GHz Intel Core i5,2,2.5 GHz,8 GB,14in
a750,Dell XPS 13.3 Full HD Touchscreen Flagship High Performance Ultrabook Laptop PC Intel Core i5-6200U Dual-Core 8GB RAM 128GB SSD WIFI Bluetooth 4.1 Webcam Windows 10,$789.00,,Dell,1920 x 1080,128 GB,PC,Windows 10,2.3 GHz Intel Core i5,4,2.3 GHz,16 GB,13.3in
a751,Lenovo ThinkPad P71 17.3'' Mobile Workstation Laptop (Intel i7 Quad Core Processor 16GB RAM 1TB HDD + 512GB SSD 17.3 inch FHD 1920x1080 Display NVIDIA Quadro M620M Win 10 Pro),$2069.00,,Lenovo,,,,,Intel,4,,16 GB,17.3in
a752,Lenovo ideapad 310 Laptop 15.6 Screen AMD A10 12GB Memory 1TB Hard Drive Windows 10,$429.00,4.5 hours,Lenovo,,1 TB,PC,Windows 10,2.4 GHz AMD A Series,1,2.4 GHz,12 GB,15.6in
a753,Lenovo Ideapad 510s 80TK002JUS 14-Inch Full HD Laptop (Core i5-6200U 8 GB RAM 1TB HDD Windows 10) Silver,$609.99,6 hours,Lenovo,1920x1080 pixels,1 TB,,Windows 10,2.3 GHz Intel Core i5,2,2.3 GHz,8 GB,14in
a754,Lenovo ThinkPad T470p Laptop Computer | Intel Core i7-7700HQ | 14 FHD IPS Anti-Glare Touchscreen | 16GB DDR4 | 256GB PCIe-NVMe SSD | NVIDIA GeForce 940MX | Windows 10 Pro,$1499.00,,Lenovo,1920 x 1080,256 GB,PC,Windows 10,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,14in
a755,MSI GT75VR TITAN PRO-202 BUNDLE- Upgraded: 17.3 UHD 4K + 32GB RAM + 2x500GB Samsung 960 EVO PCIE | Intel i7-7820HK | NVIDIA GTX 1080 | 1TB HDD | Windows 10 | RGB Keyboard,$3569.00,,XOTIC PC,,1 TB,PC,Windows 10,2.9 GHz Intel Mobile CPU,4,2.9 GHz,32 GB,17.3in
a756,Acer Aspire Flagship High Performance 15.6 inch HD Laptop PC | Intel Core i3-7100U | 4GB RAM | 1TB HDD | Bluetooth | SD Card Reader | HDMI | Windows 10,$365.00,,Acer,,1 TB,PC,Windows 10,2.4 GHz Intel Core i3,2,2.4 GHz,4 GB,15.6in
a757,Dell Latitude 15 5000 Series 5580 15.6 Laptop - 7th Gen Intel Core i5-7200U Processor up to 3.10 GHz 16GB Memory 512GB SSD Intel HD Graphics 620 Windows 10 Pro,$1299.00,,Dell,,512 GB,PC,Windows 10 Pro,3.1 GHz Intel Core i5,1,3.1 GHz,16 GB,15.6in
a758,Lenovo Ideapad 310 - 15.6 HD Display Laptop with 3x Faster WiFi (AMD A12 12 GB RAM 1TB HDD Windows 10) 80ST000KUS,$449.00,4 hours,Lenovo,1366x768 pixels,1 TB,PC,Windows 10,2.5 GHz AMD A Series,4,2.5 GHz,12 GB,15.6in
a759,Lenovo - Yoga 710 2-in-1 80V6000PUS 11.6 Touch-Screen Laptop - Intel 7th generation Core i5-7Y54 - 8GB Memory - 128GB Solid State Drive - Silver,$778.00,,Lenovo,,128 GB,,Windows 10,Intel Core i5,4,,12 GB,11.6in
a760,Lenovo ThinkPad P50 Laptop Computer 15.6 inch FHD IPS Screen Intel Quad Core i7-6700HQ 16GB RAM 500GB Solid State Drive W7P / W10P 3 YR WTY,$1569.95,,Lenovo,1920x1080,500 GB,,Windows 7 Professional,Intel,4,2.6 GHz,16 GB,15.6in
a761,ASUS ROG Zephyrus GX501VI-XS74 (i7-7700HQ 24GB RAM 512GB NVMe SSD NVIDIA GTX 1080 8GB 15.6 Full HD 120Hz G-Sync Windows 10 Pro) Gaming Notebook,$2849.00,,EXcaliberPC,,512 GB,PC,Microsoft Windows 10 Pro,2.8 GHz Intel Core i7,4,2.8 GHz,24 GB,15.6in
a762,Newest HP 15.6 HD Notebook (2018 Edition) Intel 8th Gen. Quad Core i5-8250U Processor up to 3.40GHz 12GB DDR4 RAM 2TB HDD DVD-RW 802.11ac Bluetooth HDMI Webcam Win 10 - Purple,$589.80,8 hours,HP,,2 TB,PC,Windows 10,1.6 GHz Intel Core 2 Quad,4,1.6 GHz,12 GB,15.6in
a763,HP EliteBook 840 G4 - 14 - Core i5 7200U - 8 GB RAM - 256 GB SSD - 1GE40UT#ABA,$1151.49,,HP,1366 x 768 pixels,256,,Windows 10 Pro,2.5 GHz Intel Core i5,1,2.5 GHz,8 GB,14in
a764,Dell XPMM1 Latitude 3480 14 HD Laptop (Intel Core i5-7200U 8GB DDR4 500GB Hard Drive Windows 10 Pro),$631.54,,Dell,1366x768 pixels,500 GB,,Windows 10 Pro,2.5 GHz 8032,2,2.5 GHz,8 GB,14in
a765,Dell Latitude 7280 Intel Core 12.5 inch FHD i7-7600U 16GB DDR4 512GB SSD Windows 10 Pro Business Ultrabook,$1249.95,,Dell,,512,PC,Windows 10 Professional,3.9 GHz Intel Core Duo,2,3.9 GHz,16 GB,12.5in
a766,Dell Inspiron i7359-8404SLV 13.3 Inch 2-in-1 Touchscreen Laptop (6th Generation Intel Core i7 8 GB RAM 256 GB SSD),$839.99,11 hours,Dell,1920 x 1080 pixels,256,PC,Windows 10,2.5 GHz Core i7 6500U,2,2.5 GHz,8 GB,13.3in
a767,HP 15-inch Laptop AMD Dual-Core E2-9000e 4GB RAM 500GB hard drive Windows 10 (15-bw010nr Gray),$369.99,6.25 hours,HP,1366x768 pixels,500 GB,,Windows 10,2 GHz 8032,2,2 GHz,4 GB,15.6in
a768,Lenovo 2-in-1 Flex 4 Flagship High Performance 14 HD Touchscreen Laptop PC Intel Pentium 4405U Dual-Core 4GB DDR4 500GB HDD Bluetooth WIFI Windows 10 Black,$495.00,8.5 hours,Lenovo,,,,Windows 10,2.1 GHz Pentium T4400,2,2.1 GHz,6 GB,14in
a769,2018 Lenovo premium 17.3 320 series business Laptop Intel Core i5-7200U 2.5 Ghz 256GB SSD 8GB DDR4 DVD+RW 802.11ac Wi-Fi Bluetooth 4.1 HDMI USB C Ethernet Dolby Audio Card Reader Win 10,$689.00,,Lenovo,1600 x 900,256 GB,PC,Windows 10 Home,2.5 GHz Intel Core i5,2,2.5 GHz,8 GB,17.3in
a770,Dell Latitude 14-5480 Intel Core i5-7300U X2 2.6GHz 8GB 512GB SSD 14 Black (Scratch and Dent),$999.77,8 hours,Dell,1366x768,512 GB,PC,Windows 10,2.6 GHz,2,2.6 GHz,8 GB,14in
a771,Lenovo Essential N22 11.6-inch Laptop Notebook Intel Dual-Core Processor up to 2.48GHz | 4GB RAM | 64GB SSD | Rotatable Webcam | Water-Resistant Keyboard | Windows 10 Pro,$229.00,10 hours,lenov,,64 GB,PC,Windows 10,1.6 GHz Intel Celeron,2,1.6 GHz,4 GB,11.6in
a772,Acer 11.6-inch TravelMate Notebook (Windows 10 Pro),$186.99,12 hours,Acer,,32 GB,PC,Windows 10,1.6 GHz Intel Celeron D,2,1.6 GHz,2 GB,11.6in
a773,2018 Dell Inspiron 5000 15.6 Full HD IPS Touchscreen Laptop Intel Quad-Core i5-8250U Up to 3.4GHz 8GB DDR4 512GB SSD DVDRW MaxxAudio Pro Backlit Keyboard 802.11ac Bluetooth Win 10,$780.00,10 hours,Dell,1920 x 1080 Touchscreen,512 GB,PC,Windows 10,1.6 GHz Intel Core i5,4,1.6 GHz,8 GB,15.6in
a774,Dell Inspiron 17 5000 Flagship Laptop (2018 Newest) 17.3 HD+ Display AMD FX-9800P up to 3.6 GHz Quad Core Processor 8GB RAM 1TB HDD DVD WiFi Bluetooth Webcam HDMI Win 10 Grey,$549.13,,Dell_17.3,,1 TB,,Windows 10,AMD,4,2.7 GHz,8 GB,17.3in
a775,Dell Inspiron 7000 15.6inch 4K UHD Touchscreen Gaming laptop (Intel Quad core i7-6700HQ 3.5GHz 16GB RAM 1TB+8GB Hybrid SSHD GeForce GTX 960M 4GB Backlit Keyboard Windows 10),$899.99,,Dell,3840 x 2160,1 TB,PC,Windows 10,2.6 GHz Intel Core i7,4,2.6 GHz,16 GB,15.6in
a776,Toshiba Lightweight Laptop Portege Z30-C1320 13.3 Ultrabook 8 GB RAM 256 GB SSD Intel HD Graphics 520 Silver (PT261U-012008),$1322.96,,Toshiba,1366x768 pixels,256,PC,Windows 7 Professional,3.4 GHz Intel Core i7,2,3.4 GHz,8 GB,13.3in
a777,Top Performance Dell Inspiron 15.6 Touchscreen Laptop 7th Intel Core i3-7100U 2.4GHz 8 GB DDR4 RAM 1 TB HDD HDMI DVD-RW Bluetooth HDMI Web Camera,$449.00,,Dell,,,,Windows 10,2.4 GHz Intel Core i3,2,2.4 GHz,6 GB,15.6in
a778,Lenovo Yoga 700 2-in-1 Flagship High Performance 11.6 inch Full HD Touchscreen Laptop Tablet Intel Core m5-6Y54 Dual-Core 8GB RAM 256GB SSD Bluetooth WIFI Windows 10,$557.88,,Lenovo,,256 GB,PC,Windows 10,1.1 GHz Intel Mobile CPU,4,1.1 GHz,8 GB,11.6in
a779,2018 Latest Eluktronics Pro-X P775TM1-G Intel i7-8700K Hexa Core CPU NVIDIA GTX 1080 GPU + G-Sync Ultra Performance 17.3 IPS 75Hz VR Ready Gaming Laptop - 1TB PCIe SSD + 1TB HDD & 32GB DDR4 RAM,$2699.95,,Eluktronics,,1 TB,PC,Windows 10,3.7 GHz Intel Core i7,6,3.7 GHz,32 GB,
a780,Dell X1W6W Latitude 5580 Laptop 15.6 FHD Intel Core i7-7820HQ 16GB DDR4 256GB Solid State Drive Windows 10 Pro,$1409.95,,Dell,1920X1080 pixels,256,PC,Windows 10 Pro,2.9 GHz 8032,4,2.9 GHz,16 GB,15.6in
a781,Dell HPM4G Latitude 3580 15.6 FHD Laptop (Intel Core i7-7500U 8GB DDR4 500GB Hard Drive Windows 10 Pro),$823.96,,Dell,1920X1080 pixels,500 GB,,Windows 10 Pro,2.7 GHz 8032,2,2.7 GHz,8 GB,15.6in
a782,HP EliteBook Folio G1 W0S06UT 12.5-Inch Notebook (Intel Core m5-6Y548GB 256 GB Win 10 Pro),$1210.09,,HP,1920 x 1080 pixels,256.0,PC,Windows 10 Pro 64-bit Edition,1.1 GHz None,2,1.1 GHz,8 GB,12.5in
a783,2017 Model Dell Inspiron 2-IN-1 13.3-inch Touch IPS FHD 1080p Laptop PC Intel Core i5-7200U 8GB DDR4 SDRAM 256GB SSD Bluetooth Backlit Keyboard Up to 8h battery life Windows 10,$739.00,8 hours,Dell,,256 GB,PC,Windows 10,2.5 GHz Intel Core i5,2,2.5 GHz,8 GB,13.3in
a784,ASUS ROG STRIX GL702VI-WB74 (i7-7700HQ 16GB RAM 256GB NVMe SSD + 1TB HDD NVIDIA GTX 1080 8GB 17.3 Full HD 120Hz G-Sync Windows 10) Gaming Notebook,$1999.00,,EXcaliberPC,,1 TB,PC,Microsoft Windows 10,2.8 GHz Intel Core i7,4,2.8 GHz,16 GB,17.3in
a785,2018 Flagship Lenovo ThinkPad Edge E470 14 Inch Laptop (Intel Core i5-6200U 8GB RAM 512GB SSD Intel Graphic WiFi HDMI Webcam FingerPrint Reader Windows 10 Professional),$829.00,,UpgradePro,1366x768,512 GB,PC,Windows 10 Professional,2.3 GHz Intel Core i5,2,2.3 GHz,8 GB,14in
a786,Lenovo ThinkPad X1 Carbon 3rd Generation - Core i7-5600U 2.6GHz 8GB 256GB SSD 14.0 FHD 1920x1080 WIFI Bluetooth HDMI USB 3.0 Windows 10 Pro 64 Bit(Certified Refurbishd),$679.99,10.9 hours,Lenovo,1920 x 1080,256 GB,PC,Windows 7;,Intel Core i5,2,,8 GB,14in
a787,2018 Premium Dell Inspiron 13.3 2 in 1 Full HD IPS Touchscreen Business Laptop/tablet Intel Quad-Core i7-8550U 16GB DDR4 256GB SSD MaxxAudio Backlit Keyboard 802.11ac Bluetooth HDMI Webcam Win 10,$897.00,10 hours,Dell,1920 x 1080,256 GB,2-in-1 PC,Windows 10,1.8 GHz Intel Core i7,4,1.8 GHz,16 GB,13.3in
