id,product_title,brand,model,operating_system,extended_title
a239,2018 hp 17.3 full hd ips intel dual core i7 7500u 3.5ghz 16gb ddr4 1tb hdd 4gb amd radeon 530 802.11ac hdmi win 10,hp,,windows 10 ,2018 hp 17.3 full hd ips intel dual core i7 7500u 3.5ghz 16gb ddr4 1tb hdd 4gb amd radeon 530 802.11ac hdmi win 10 windows 
a240,dell i5767 5889gry inspiron 17.3 hd core i5 7200u 8gb ddr4 1tb windows 10 gray,dell,i5767 5889gry,windows 10 pro,dell i5767 5889gry inspiron 17.3 hd core i5 7200u 8gb ddr4 1tb windows 10 
a241,dell xps 15 9560 4k uhd intel core i7 7700hq 32gb 1tb ssd nvidia gtx 1050 4gb gddr5 windows 10 home,dell,,windows 10,dell xps 15 9560 4k uhd intel core i7 7700hq 32gb 1tb ssd nvidia gtx 1050 4gb gddr5 windows 10 windows
a242,dell latitude 5480 6r2tf 14” hd intel core i5 7200u 2.50ghz 8gb ddr4 500gb 7200rpm hdd windows 10 64 ,dell,6r2tf,windows 10 pro,dell latitude 5480 6r2tf 14” hd intel core i5 7200u 2.50ghz 8gb ddr4 500gb 7200rpm hdd windows 10 64 
a243,dell i5379 5893gry pus inspiron 2 1 8th gen intel core i5 8gb 256gb ssd intel uhd 620 13.3 touch gray,dell,i5379 5893gry pus,windows 10,dell i5379 5893gry pus inspiron 2 1 8th gen intel core i5 8gb 256gb ssd intel uhd 620 13.3 touch windows 10
a244,lenovo ideapad 710s plus touchscreen 13.3 intel core i7 7500u 8 gb ddr4 512gb ssd window 10 80yq0002us,lenovo,80yq0002us,windows 10,lenovo ideapad 710s plus touchscreen 13.3 intel core i7 7500u 8 gb ddr4 512gb ssd window 10 80yq0002us windows
a245,2017 dell pc 15.6 hd intel i3 7100u 8gb ddr4 128gb ssd hdmi rw maxxaudio windows 10 black,dell,t8tjg,windows 10,2017 dell pc 15.6 hd intel i3 7100u 8gb ddr4 128gb ssd hdmi rw maxxaudio windows 10 t8tjg
a246,hp 17.3 hd amd dual core a9 9420 apu 3.6ghz 4gb ddr4 1tb hdd amd radeon r5 802.11ac 4.0 rw usb 3.1 windows 10 black,hp,hp 17,windows 10,hp 17.3 hd amd dual core a9 9420 apu 3.6ghz 4gb ddr4 1tb hdd amd radeon r5 802.11ac 4.0 rw usb 3.1 windows 10 
a247,asus vivobook x541 15.6 hd intel quad core pentium n4200 2.5 ghz 4 gb 500gb hdd c usb hdmi rw win 10 ,asus,,windows 10,asus vivobook x541 15.6 hd intel quad core pentium n4200 2.5 ghz 4 gb 500gb hdd c usb hdmi rw win 10 asus windows
a248,hp envy 17.3 full hd ips touchscreen 7th intel core i7 7500u 16gb ddr4 1tb 7200rpm hdd nvidia geforce 940mx hdmi windows 10 silver,hp,hpenvy17,windows 10,hp envy 17.3 full hd ips touchscreen 7th intel core i7 7500u 16gb ddr4 1tb 7200rpm hdd nvidia geforce 940mx hdmi windows 10 hpenvy17
a249,lenovo thinkpad e570 20h50047us 15.6 16 9 1920 x 1080 plane switching ips technology intel core i7 7th gen i7 7500u dual core 2 core 2.70 ghz 8gb ddr4 sdram 256gb ssd,lenovo,20h50047us,unknown,lenovo thinkpad e570 20h50047us 15.6 16 9 1920 x 1080 plane switching ips technology intel core i7 7th gen i7 7500u dual core 2 core 2.70 ghz 8gb ddr4 sdram 256gb ssd unknown
a250,hp 1kd18ut 2017 probook 450 g4 15.6 intel 7th core i7 7500u 1tb hdd 8gb ddr4 1920x1080 fhd back lit windows 10 pro,hp,1kd18ut,windows 10,hp 1kd18ut 2017 probook 450 g4 15.6 intel 7th core i7 7500u 1tb hdd 8gb ddr4 1920x1080 fhd back lit windows 10 
a251,dell inspiron 2 1 7000 7373 13.3 fhd touch 8th gen i5 8250u 8gb 256gb ssd,dell,t8tjg,windows 10,dell inspiron 2 1 7000 7373 13.3 fhd touch 8th gen i5 8250u 8gb 256gb ssd t8tjg windows 10
a252,2018 2 1 dell inspiron 13 5000 13.3 full hd touchscreen pc intel core i7 8550u quad core 8gb ddr4 256gb ssd waves maxxaudio windows 10,dell,t8tjg,windows 10,2018 2 1 dell inspiron 13 5000 13.3 full hd touchscreen pc intel core i7 8550u quad core 8gb ddr4 256gb ssd waves maxxaudio windows 10 t8tjg
a253,dell xps 13 9365 2 1 13.3 fhd touch i7 7y75 8gb 256gb ssd silver,dell consumer,dell xps 13 9365 2 1,windows 10,dell xps 13 9365 2 1 13.3 fhd touch i7 7y75 8gb 256gb ssd consumer windows 10
a254,omen x hp 17 intel core i7 7820hk nvidia geforce gtx 1080 16gb 1tb 256gb solid state windows 10 17 ap020nr ,hp,17 ap020nr,windows 10,omen x hp 17 intel core i7 7820hk nvidia geforce gtx 1080 16gb 1tb 256gb solid state windows 10 17 ap020nr 
a255,asus vivobook flip tp200sa dh01t 11.6 lightweight 2 1 hd touchscreen intel celeron 2.48 ghz 4gb 32gb emmc windows 10 home,asus,tp200sa dh01t,windows 10,asus vivobook flip tp200sa dh01t 11.6 lightweight 2 1 hd touchscreen intel celeron 2.48 ghz 4gb 32gb emmc windows 10 asus
a256,omen x hp 17 intel core i7 7700hq nvidia geforce gtx 1070 16gb 1tb 256gb solid state windows 10 17 ap010nr ,hp,17 ap010nr,windows 10,omen x hp 17 intel core i7 7700hq nvidia geforce gtx 1070 16gb 1tb 256gb solid state windows 10 17 ap010nr 
a257,dell xps 9350 1340slv 13.3 intel core i5 8 gb 128 gb ssd microsoft image,dell,xps9350 1340slv,windows 10,dell xps 9350 1340slv 13.3 intel core i5 8 gb 128 gb ssd microsoft xps9350 1340slv windows 10
a258,rca viking 10 touchscreen 2 1 tablet quad core 32g detachable free office moblie app ips android 5.0 ,rca,viking pro,android,rca viking 10 touchscreen 2 1 tablet quad core 32g detachable free office moblie app ips android 5.0 
a259,2018 hp pavilion 15.6 fhd 1080p pc intel core i7 12gb 1tb usb 3.1 windows 10,hp,t8tjg,windows 10,2018 hp pavilion 15.6 fhd 1080p pc intel core i7 12gb 1tb usb 3.1 windows 10 t8tjg
a260,hp 15.6’’ hd touchscreen trubrite pc intel dual core i5 7200u 2.5ghz 8gb ddr4 sdram 1tb hdd hdmi hd 620 dts studio sound windows 10,hp,hp touch 15,windows 10,hp 15.6’’ hd touchscreen trubrite pc intel dual core i5 7200u 2.5ghz 8gb ddr4 sdram 1tb hdd hdmi hd 620 dts studio sound windows 10 hp touch windows
a261,hp elitebook 840 g3 t6f46ut#aba 14 8gb 256gb ssd media 720p camera windows 7 64 ,hp,t6f46ut#aba,windows 7 professional,hp elitebook 840 g3 t6f46ut#aba 14 8gb 256gb ssd media 720p camera windows 7 64 professional
a262,hp 15.6 hd touchscreen 2018 latest 8th gen intel core i7 8550u 4.00 ghz 8gb ddr4 1tb rw windows 10 home,hp,hp 15.6 touch i7 8550u 8gb 1tb,windows 10,hp 15.6 hd touchscreen 2018 latest 8th gen intel core i7 8550u 4.00 ghz 8gb ddr4 1tb rw windows 10 hp 15.6 touch i7 8550u 8gb 1tb
a263,apple macbook mlh32ll a 15 touch bar 2.6ghz quad core intel core i7 256gb retina space ,apple,mlh32ll a,mac sierra,apple macbook mlh32ll a 15 touch bar 2.6ghz quad core intel core i7 256gb retina space sierra
a264,lenovo thinkpad t470 14 hd intel dual core i5 7200u 16gb 240gb solid state windows 10 64,oemgenuine,t470,windows 10 64 bit,lenovo thinkpad t470 14 hd intel dual core i5 7200u 16gb 240gb solid state windows 10 64 oemgenuine bit
a265,dell inspiron 11.6 hd pc intel celeron n3060 4gb 32gb emmc maxxaudio hdmi windows 10 bali ,dell,,windows 10,dell inspiron 11.6 hd pc intel celeron n3060 4gb 32gb emmc maxxaudio hdmi windows 10 bali 
a266,acer r 11 cb5 132t c8zw 2 1 11.6 touch chromebook intel celeron 4gb 16gb emmc white,acer,cb5 132t c8zw,chrome os,acer r 11 cb5 132t c8zw 2 1 11.6 touch chromebook intel celeron 4gb 16gb emmc os
a267,hp 17.3 1600 x 900 hd amd a9 9420 8gb 1tb hdd usb 3.1 rw sd 4.2 windows 10,hp,t8tjg,windows 10,hp 17.3 1600 x 900 hd amd a9 9420 8gb 1tb hdd usb 3.1 rw sd 4.2 windows 10 t8tjg
a268,samsung chromebook 3 xe500c13 k03us 11.6 hd celeron n3060 4gb 32gb ssd black,samsung,xe500c13 k03us,chrome os,samsung chromebook 3 xe500c13 k03us 11.6 hd celeron n3060 4gb 32gb ssd os
a269,acer aspire v 17 nitro 17.3” full hd tobii eye tracking. intel i7 nvidia geforce gtx1060 16gb ddr4 256gb ssd vn7 793g 709a,acer,vn7 793g 709a,windows 10,acer aspire v 17 nitro 17.3” full hd tobii eye tracking. intel i7 nvidia geforce gtx1060 16gb ddr4 256gb ssd vn7 793g 709a windows
a270,samsung 7 spin 2 1 full hd 1920 x 1080 15.6 touchscreen intel core i7 7500u 12gb ddr4 1tb hdd nvidia geforce 940mx 802.11ac usb c hdmi,samsung,samsung np740,windows 10,samsung 7 spin 2 1 full hd 1920 x 1080 15.6 touchscreen intel core i7 7500u 12gb ddr4 1tb hdd nvidia geforce 940mx 802.11ac usb c hdmi np740 windows
a271,lenovo ideapad 15.6 hd pc amd a12 9720p quad core 8gb ddr4 256gb ssd rw 4.1 stereo speakers hdmi c windows 10 platinum ,lenovo,t8tjg,windows 10,lenovo ideapad 15.6 hd pc amd a12 9720p quad core 8gb ddr4 256gb ssd rw 4.1 stereo speakers hdmi c windows 10 platinum t8tjg
a272,msi gs63 stealth 061 15.6 ips level i7 7700hq gtx 1050 2g 16gb 128gb ssd 1tb black,msi,gs63 stealth 061,windows 10 home,msi gs63 stealth 061 15.6 ips level i7 7700hq gtx 1050 2g 16gb 128gb ssd 1tb windows home
a273,lenovo thinkpad x1 carbon 14 fhd ips intel dual core i7 6500u 8gb 256gb nvme w10p dg w7p 3 yr wty ,lenovo,x1 carbon,win 7 win 10 pro,lenovo thinkpad x1 carbon 14 fhd ips intel dual core i7 6500u 8gb 256gb nvme w10p dg w7p 3 yr wty win win pro
a274,apple mnyh2ll a 12 macbook retina 1.2ghz intel core m3 dual core 8gb 256gb ssd mac ,apple,mnyh2ll a,macos sierra,apple mnyh2ll a 12 macbook retina 1.2ghz intel core m3 dual core 8gb 256gb ssd mac macos sierra
a275,acer spin 5 13.3 full hd touch 7th gen intel core i5 8gb ddr4 256gb ssd windows 10 convertible sp513 51 53fc,acer,sp513 51 53fc,windows 10,acer spin 5 13.3 full hd touch 7th gen intel core i5 8gb ddr4 256gb ssd windows 10 convertible sp513 51 53fc 
a276,acer swift 3 15.6 full hd amd ryzen 7 2700u 8gb ddr4 512gb ssd windows 10 sf315 41 r6j9,acer,sf315 41 r6j9,windows 10,acer swift 3 15.6 full hd amd ryzen 7 2700u 8gb ddr4 512gb ssd windows 10 sf315 41 r6j9 
a277,asus vivobook flip r518ua dh51t 15.6 intel core i5 7200u 2.5ghz 3.1ghz 256gb ssd 8gb ddr4 windows 10,asus,r518ua dh51t,windows 10,asus vivobook flip r518ua dh51t 15.6 intel core i5 7200u 2.5ghz 3.1ghz 256gb ssd 8gb ddr4 windows 10 
a278,2017 samsung xe500c13 chromebook intel dual core celeron n3060 2.48ghz 11.6 wled hd 4gb ddr3 32gb emmc 802.11ac hdmi chrome black,samsung,samsung xe500c13,chrome os,2017 samsung xe500c13 chromebook intel dual core celeron n3060 2.48ghz 11.6 wled hd 4gb ddr3 32gb emmc 802.11ac hdmi chrome 
a279,lg gram 15.6 full hd ips intel core i7 8th gen 8gb 256gb ssd back lit – 15z980 a.aas7u1,lg,15z980 a.aas7u1,windows 10 home,lg gram 15.6 full hd ips intel core i7 8th gen 8gb 256gb ssd back lit – 15z980 a.aas7u1 windows 10 home
a280,2016 lenovo flex 4 hd 14 touchscreen 2 1 intel pentium 4405u 2.1 ghz 4 gb ddr3l 500gb hdd hd hdmi 802.11a c windows 10,lenovo,lenovo flex 4,windows 10,2016 lenovo flex 4 hd 14 touchscreen 2 1 intel pentium 4405u 2.1 ghz 4 gb ddr3l 500gb hdd hd hdmi 802.11a c windows 10 lenovo flex 4
a281,msi gs63vr stealth 230 15.6 intel core i7 7700hq gtx 1060 16gb 256gb nvme ssd 2tb vr ready chassis,msi,gs63vr stealth 230,windows 10,msi gs63vr stealth 230 15.6 intel core i7 7700hq gtx 1060 16gb 256gb nvme ssd 2tb vr ready stealth 230 windows
a282,dell inspiron 17 5000 series 5770 17.3 full hd 8th gen intel core i7 8550u 4.0 ghz 32gb 1tb ssd 4gb amd radeon 530 windows 10 silver,dell,t8tjg,windows 10 pro,dell inspiron 17 5000 series 5770 17.3 full hd 8th gen intel core i7 8550u 4.0 ghz 32gb 1tb ssd 4gb amd radeon 530 windows 10 t8tjg
a283,hp envy & 13 fhd touch intel core i7 8550u 8gb 256gb ssd windows 10 13 ad120nr ,hp,13 ad120nr,windows 10,hp envy & 13 fhd touch intel core i7 8550u 8gb 256gb ssd windows 10 13 ad120nr 
a284,asus vivobook flip 15 tp510ua rh31t 15.6” lightweight 2 1 full hd touchscreen intel core i3 7100u 2.4ghz 6gb ddr4 1tb hddwindows 10 homestylusfingerprint scanner,asus,tp510ua rh31t,windows 10 home,asus vivobook flip 15 tp510ua rh31t 15.6” lightweight 2 1 full hd touchscreen intel core i3 7100u 2.4ghz 6gb ddr4 1tb hddwindows 10 homestylusfingerprint scanner asus
a285,dell 4k7hn latitude 5480 14 hd intel core i5 7200u 8gb ddr4 256gb solid state windows 10 pro,dell,4k7hn,windows 10 pro,dell 4k7hn latitude 5480 14 hd intel core i5 7200u 8gb ddr4 256gb solid state windows 10 
a286,hp envy 17t touch quad core 8th gen. intel i7 8550u 16gb ddr4 1tb 256gb nvme ssd nvidia geforce 4gb gddr5 17.3 fhd ips wled windows 10 bang & olufsen power pc,hp,envy 17t touch quad dual drive,windows 10,hp envy 17t touch quad core 8th gen. intel i7 8550u 16gb ddr4 1tb 256gb nvme ssd nvidia geforce 4gb gddr5 17.3 fhd ips wled windows 10 bang & olufsen power pc dual drive
a287,hp 15.6 hd touchscreen pc intel core i5 7200u 8gb 2tb hdd 128gb ssd hdmi rw windows 10 home,hp,t8tjg,windows 10,hp 15.6 hd touchscreen pc intel core i5 7200u 8gb 2tb hdd 128gb ssd hdmi rw windows 10 t8tjg
a288,hp envy x360 15 quad core 8th gen. intel i7 8550u 16gb ddr4 1tb 128gb nvme ssd intel uhd 620 ips micro edge windows 10 bang & olufsen ms ink 15.6 convertible 2 1 laptop,hp,envy x360 15 quad 8th gen. 16g dual,windows 10,hp envy x360 15 quad core 8th gen. intel i7 8550u 16gb ddr4 1tb 128gb nvme ssd intel uhd 620 ips micro edge windows 10 bang & olufsen ms ink 15.6 convertible 2 1 dual
a289,lenovo ideapad 320 15.6 hd pc intel celeron n3350 dual core 4gb 1tb hdd 4.1 rw usb 3.0 windows 10 15.6 ,lenovo,,windows 10,lenovo ideapad 320 15.6 hd pc intel celeron n3350 dual core 4gb 1tb hdd 4.1 rw usb 3.0 windows 10 15.6 
a290,2017 dell inspiron 15.6 hd intel dual core i3 7100u 2.4ghz 8gb 128gb ssd hdmi 3 1 maxxaudio win 10,dell,t8tjg,windows 10 64 bit,2017 dell inspiron 15.6 hd intel dual core i3 7100u 2.4ghz 8gb 128gb ssd hdmi 3 1 maxxaudio win 10 t8tjg windows 64 bit
a291,msi we72 7rj 1032us ips level 17.3 nvidia quadro m2200 i7 7700hq 32gb 512gb m.2 sata windows 10 pro,msi,we721032,windows 10,msi we72 7rj 1032us ips level 17.3 nvidia quadro m2200 i7 7700hq 32gb 512gb m.2 sata windows 10 we721032
a292,hp 15 ay103dx15.6 hd touchscreen 7th gen intel kaby lake dual core i5 7200u 2.5ghz 8gb ddr4 1tb hdd usb 3.1 hdmi rj 45 windows 10 home,hp,1.91e 11,windows 10,hp 15 ay103dx15.6 hd touchscreen 7th gen intel kaby lake dual core i5 7200u 2.5ghz 8gb ddr4 1tb hdd usb 3.1 hdmi rj 45 windows 10 1.91e 11
a293,lenovo ideapad 320 15 15.6 intel core i5 8520u windows 10 8gb ddr4 1tb drive,lenovo,ideapad 320,windows 10,lenovo ideapad 320 15 15.6 intel core i5 8520u windows 10 8gb ddr4 1tb 
a294,acer aspire 5 17.3 full hd 8th gen intel core i7 8550u geforce mx150 12gb ddr4 256gb ssd 1tb hdd a517 51g 8433,acer,a517 51g 8433,windows 10 home,acer aspire 5 17.3 full hd 8th gen intel core i7 8550u geforce mx150 12gb ddr4 256gb ssd 1tb hdd a517 51g 8433 windows 10 home
a295,hp omen 15 ax250wm 15.6 full hd ips core i7 7700hq qc nvidia gtx 1050ti 4gb 12gb 1tb drive,hp,t8tjg,windows 10,hp omen 15 ax250wm 15.6 full hd ips core i7 7700hq qc nvidia gtx 1050ti 4gb 12gb 1tb t8tjg windows
a296,2017 lenovo yoga book 10.1 fhd touch ips 2 1 convertible tablet pc intel atom x5 z8550 1.44ghz 4gb 64gb ssd hd windows 10 carbon black,lenovo,t8tjg,,2017 lenovo yoga book 10.1 fhd touch ips 2 1 convertible tablet pc intel atom x5 z8550 1.44ghz 4gb 64gb ssd hd windows 10 carbon t8tjg
a297,msi ge63vr raider 075 15.6 120hz 3ms i7 7700hq gtx 1070 8g 16gb 128gb ssd 1tb,msi,ge63vr raider 075,windows 10 home,msi ge63vr raider 075 15.6 120hz 3ms i7 7700hq gtx 1070 8g 16gb 128gb ssd 1tb windows home
a298,lenovo thinkpad x1 carbon 20fb002lus 14 wqhd 2560x1440 ips intel core i7 6600u 512gb ssd 16gb windows 7 ,lenovo,20fb002lus,windows 7 professional,lenovo thinkpad x1 carbon 20fb002lus 14 wqhd 2560x1440 ips intel core i7 6600u 512gb ssd 16gb windows 7 professional
a299,2017 acer chromebook 11.6 hd ips 1366x768 intel celeron n2840 dual core 2.16 ghz 2 gb ram16 gb ssd 802.11ac hdmi hd google chrome os,,acer 11.6 2g celeron 16g ssd,windows 10,2017 acer chromebook 11.6 hd ips 1366x768 intel celeron n2840 dual core 2.16 ghz 2 gb ram16 gb ssd 802.11ac hdmi hd google chrome acer 11.6 2g celeron 16g windows 10
a300,eluktronics n870hp6 x intel core i7 7700hq quad core windows 10 6gb gddr5 nvidia geforce gtx 1060 17.3” full hd ips 256gb nvme ssd 16gb ddr4 ram,eluktronics,,windows 10 64 bit,eluktronics n870hp6 x intel core i7 7700hq quad core windows 10 6gb gddr5 nvidia geforce gtx 1060 17.3” full hd ips 256gb nvme ssd 16gb ddr4 64 bit
a301,2017 lenovo built pc 17.3 hd intel i5 7200u 8gb ddr4 1tb hdd rw 802.11ac hdmi windows 10 silver,lenovo_320,t8tjg,windows 10,2017 lenovo built pc 17.3 hd intel i5 7200u 8gb ddr4 1tb hdd rw 802.11ac hdmi windows 10 lenovo_320 t8tjg windows
a302,hp chromebook 11 g4 11.6 intel n2840 dual core 2gb 16gb ssd chrome black,hewlett packard,p0b79ut#aba,chrome,hp chromebook 11 g4 11.6 intel n2840 dual core 2gb 16gb ssd chrome hewlett packard p0b79ut#aba
a303,acer switch alpha 12 sa5 271 78m8 i7 6500u 12 8gb 256gb nt.lcdaa.014 sa5 271 78m8 ,acer,nt.lcdaa.014 sa5 271 78m8,windows 10,acer switch alpha 12 sa5 271 78m8 i7 6500u 12 8gb 256gb nt.lcdaa.014 sa5 271 78m8 windows 10
a304,hp 17 intel core i3 6006u 8gb 1tb windows 10 17 bs020nr ,hp,17 bs020nr,windows 10,hp 17 intel core i3 6006u 8gb 1tb windows 10 17 bs020nr 
a305,2018 lenovo legion y720 vr ready 15.6 fhd intel core i7 7700hq 2.8ghz 16gb 256gb ssd nvidia gtx 1060 6gb windows 10 ,lenovo,lenovo,windows 10,2018 lenovo legion y720 vr ready 15.6 fhd intel core i7 7700hq 2.8ghz 16gb 256gb ssd nvidia gtx 1060 6gb windows 10 
a306,huawei matebook 2 1 pc tablet 8 512gb intel core m5 champagne ,huawei,matebook,windows 10,huawei matebook 2 1 pc tablet 8 512gb intel core m5 champagne windows 10
a307,2016 hp 15.6 pc amd quad core apu 2.0ghz 4gb ddr3 500gb hdd radeon r4 supermulti hdmi windows 10,hp,fba_p1a95ua,windows 10,2016 hp 15.6 pc amd quad core apu 2.0ghz 4gb ddr3 500gb hdd radeon r4 supermulti hdmi windows 10 fba_p1a95ua
a308,samsung 9 np940x5m x01us 15 touch 7th gen intel core i7 7500u 3.5ghz 16gb ddr4 256gb ssd windows 10 titan silver,samsung,t8tjg,windows 10,samsung 9 np940x5m x01us 15 touch 7th gen intel core i7 7500u 3.5ghz 16gb ddr4 256gb ssd windows 10 titan t8tjg
a309,asus vivobook s s410uq 14” lightweight fhd nanoedge wideview intel core i7 8550u nvidia geforce 940mx 8gb ddr4 256gb ssd windows 10 keyboard,asus,s410uq nh74,windows 10 home,asus vivobook s s410uq 14” lightweight fhd nanoedge wideview intel core i7 8550u nvidia geforce 940mx 8gb ddr4 256gb ssd windows 10 asus s410uq nh74
a310,lenovo thinkpad e570 15.6 intel core i5 7200u 8gb 500gb hdd 802.11ac windows 10 64 bit,lenovo,thinkpad e570,windows 10 professional,lenovo thinkpad e570 15.6 intel core i5 7200u 8gb 500gb hdd 802.11ac windows 10 windows professional
a311,lenovo thinkpad e570 15.6 256gb ssd intel core i5 7th gen 2.50 ghz 8 gb ddr4 rw hdmi vga gigabit lan windows 10 64 bit,lenovo,lenovo e570,windows 10 professional,lenovo thinkpad e570 15.6 256gb ssd intel core i5 7th gen 2.50 ghz 8 gb ddr4 rw hdmi vga gigabit lan windows 10 lenovo e570 professional
a312,product titlerca cambio 10.1 2 1 32gb tablet windows 10 intel atom z8350 2gb includes ,rca,,,product titlerca cambio 10.1 2 1 32gb tablet windows 10 intel atom z8350 2gb includes 
a313,2018 lenovo ideapad 320 15.6 hd 1366x768 pc quad core amd a6 9220 2.9ghz 8gb ddr4 sdram 1tb hdd hdmi dvd±rw windows 10,lenovo,lenovo ideapad 320 15.6,windows 10,2018 lenovo ideapad 320 15.6 hd 1366x768 pc quad core amd a6 9220 2.9ghz 8gb ddr4 sdram 1tb hdd hdmi dvd±rw windows 10 
a314,2018 hp pavilion 15.6 intel core i7 8550u 1.8ghz 16gb ddr4 512gb ssd b&o dual speakers nvidia geforce 940mx 4gb hd windows 10 ,hp,hp,windows 10,2018 hp pavilion 15.6 intel core i7 8550u 1.8ghz 16gb ddr4 512gb ssd b&o dual speakers nvidia geforce 940mx 4gb hd windows 10 hp
a315,dell inspiron 17.3 fhd 7th i7 16gb 2 tb hdd i5767 6370gry ,dell,i5767 6370gry,windows 10,dell inspiron 17.3 fhd 7th i7 16gb 2 tb hdd i5767 6370gry windows 10
a316,lenovo thinkpad e570 intel core i5 7200u 8gb ddr4 180gb ssd 15.6 20h500a9us,lenovo,20h500a9us,windows 10 pro,lenovo thinkpad e570 intel core i5 7200u 8gb ddr4 180gb ssd 15.6 20h500a9us windows 10
a317,2018 dell inspiron i3567 3657blk pus 15.6 touch intel core i3 7100u 6gb 1tb black,dell,i3567 3657blk pus,windows 10,2018 dell inspiron i3567 3657blk pus 15.6 touch intel core i3 7100u 6gb 1tb windows
a318,2017 rca cambio 2 1 tablet pc 10.1 touchschreen intel atom quad core process 2gb 32gb ssd hdmi ms office windows 10,rca,w1013,windows 10,2017 rca cambio 2 1 tablet pc 10.1 touchschreen intel atom quad core process 2gb 32gb ssd hdmi ms office windows 10 w1013
a319,dell inspiron 15.6 full hd touchscreen i7 7500u 16gb ddr4 1tb hdd amd radeon r7 m445 802.11ac 4.2 hd 2 x usb 3.0 hdmi win 10,dell,dell inspiron,windows,dell inspiron 15.6 full hd touchscreen i7 7500u 16gb ddr4 1tb hdd amd radeon r7 m445 802.11ac 4.2 hd 2 x usb 3.0 hdmi win 10 windows
a320,dell xps 13 9360 13.3 infinityedge touchscreen fhd 1920x1080 intel core i5 7200u 256gb nvme m.2 ssd 8gb windows 10 silver,dell,dell xps 13 9360 touch laptop,windows 10,dell xps 13 9360 13.3 infinityedge touchscreen fhd 1920x1080 intel core i5 7200u 256gb nvme m.2 ssd 8gb windows 10 
a321,newest 2018 dell inspiron 13 5000 2 1 13.3 full hd touchscreen pc 8th gen intel core i7 ,dell,t8tjg,windows 10 64,newest 2018 dell inspiron 13 5000 2 1 13.3 full hd touchscreen pc 8th gen intel core i7 t8tjg windows 10 64
a322,lenovo flex 5 2 1 core i5 8250u 8gb 128gb ssd 14 full hd touch windows 10,lenovo,flex 5 1470,windows 10,lenovo flex 5 2 1 core i5 8250u 8gb 128gb ssd 14 full hd touch windows 10 5 1470
a323,lenovo thinkpad yoga 260 2 1 12.5 ips touchscreen 1366x768 intel core i5 6200u 180gb ssd opal2 8gb ddr4 windows 10 black,lenovo,yoga 260,windows 10 professional,lenovo thinkpad yoga 260 2 1 12.5 ips touchscreen 1366x768 intel core i5 6200u 180gb ssd opal2 8gb ddr4 windows 10 
a324,msi gs63 stealth 060 15.6 ips level i7 7700hq gtx 1050 2g 16gb 256gb ssd 1tb black,msi,gs63 stealth 060,windows 10 home,msi gs63 stealth 060 15.6 ips level i7 7700hq gtx 1050 2g 16gb 256gb ssd 1tb windows home
a325,2018 lenovo ideapad 320 15.6 windows 10 intel celeron n3350 dual core 2.4ghz 4gb 1tb rw coral ,lenovo,ideapad 320,windows 10,2018 lenovo ideapad 320 15.6 windows 10 intel celeron n3350 dual core 2.4ghz 4gb 1tb rw coral 
a326,hp 15.6 fhd ips wled 1920x1080 pc 2018 intel i7 7500u 2.7ghz 12gb ddr4 1tb hdd b&o hdmi windows 10,hp,t8tjg,windows 10,hp 15.6 fhd ips wled 1920x1080 pc 2018 intel i7 7500u 2.7ghz 12gb ddr4 1tb hdd b&o hdmi windows 10 t8tjg
a327,hp envy 13 intel core i7 7500u 8gb 256gb ssd windows 10 13 ab020nr ,hp,13 ab020nr,windows 10 home,hp envy 13 intel core i7 7500u 8gb 256gb ssd windows 10 13 ab020nr home
a328,apple mnyk2ll a 12 macbook retina 1.2ghz intel core m3 dual core 8gb 256gb ssd mac ,apple,mnyk2ll a,macos sierra,apple mnyk2ll a 12 macbook retina 1.2ghz intel core m3 dual core 8gb 256gb ssd mac macos sierra
a329,hp 15 intel core i5 7200u 8gb 1tb windows 10 15 bs030nr ,hp,15 bs030nr,windows 10,hp 15 intel core i5 7200u 8gb 1tb windows 10 15 bs030nr 
a330,samsung np900x5t x01us 9 15 titan ,samsung,np900x5t x01us,windows 10 home,samsung np900x5t x01us 9 15 titan windows 10 home
a331,fusion5 lapbook windows 10 pc 10.6 ,fusion5,t50,windows 10,fusion5 lapbook windows 10 pc 10.6 t50
a332,acer swift 5 14 full hd 7th gen intel core i7 7500u 8gb lpddr3 256gb ssd windows 10 sf514 51 706k,acer,sf514 51 5706k,windows 10,acer swift 5 14 full hd 7th gen intel core i7 7500u 8gb lpddr3 256gb ssd windows 10 sf514 51 706k sf514 51 5706k
a333,dell inspiron 7000 15.6 convertible 2 1 fhd touchscreen 7th intel core i5 7200u 8gb ddr4 256gb ssd hdmi 802.11ac win 10,dell,dell 7000 series,windows 10,dell inspiron 7000 15.6 convertible 2 1 fhd touchscreen 7th intel core i5 7200u 8gb ddr4 256gb ssd hdmi 802.11ac win 10 series windows
a334,dell inspiron 15 7000 2 1 i7579 0028gry 15.6 fhd touch 7th gen i5 7200u 8gb 256gb ssd gray,dell,i7579 0028gry,windows 10,dell inspiron 15 7000 2 1 i7579 0028gry 15.6 fhd touch 7th gen i5 7200u 8gb 256gb ssd windows 10
a335,2018 hp 15.6 hd wled touchscreen intel i3 7100u 12gb ddr4 1tb hdd intel 620 rw 802.11ac hdmi windows 10 black,hp,,windows 10,2018 hp 15.6 hd wled touchscreen intel i3 7100u 12gb ddr4 1tb hdd intel 620 rw 802.11ac hdmi windows 10 windows
