_id,ltable_id,rtable_id,ltable_model,ltable_extended_title,rtable_model,rtable_extended_title,match
1336,a1347,w3415,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 ,1
1352,a1347,w3451,,lenovo thinkpad t470s windows 10 intel core i7 7600u 20gb 512gb ssd 14 ips fhd 1920x1080 ,,pcie touch lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 2tb nvme ssd 14 ips fhd 1920x1080 touchscreen ,1
1384,a1352,w2599,thinkpad p50,lenovo thinkpad p50 windows 7 intel i7 6700hq 64gb 1tb ssd 15.6 fhd ips 1920x1080 nvidia quadro m1000m ac wi fi thinkpad professional,thinkpad,refurbished lenovo thinkpad t430 i5 2.6ghz 8gb 240ssd windows 10 64 cam ,0
1398,a1356,w3021,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6500u 512gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520 ,1
1402,a1356,w3045,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 180gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,1
1431,a1356,w3222,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 512gb ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,1
1435,a1356,w3226,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 256gb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,1
1438,a1356,w3286,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,1
1445,a1356,w3335,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6600u 1tb nvme ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,1
1478,a1361,w155,1bs51ut#aba,hp elitebook 850 g4 15.6 windows intel core i7 2.7 ghz 8 gb 256 gb ssd 1bs51ut#aba 10 pro,1bs68ut#aba,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd 1bs68ut#aba unknown,0
1492,a1366,w4377,dell,2018 dell inspiron 15 7577 15.6 uhd 3840x2160 intel quad core i7 7700hq 2.8ghz 16gb 128gb ssd 1tb hdd nvidia gtx 1060 6gb max q windows 10 dell,dell,refurbished dell latitude e6410 w7 14.1 intel i5 520m dual core 2.4ghz 4gb 160gb dvdâ±rw intel microsoft windows,0
1493,a1378,w375,1nw36ut#aba,newest hp 14 hd elitebook 745 g3 amd a10 8700b 8gb 256gb ssd radeon r6 no optical win10 1nw36ut#aba unknown,1nm36ut#aba,hp elitebook x360 1030 g2 13.3 core i5 7200u 8 gb 128 gb ssd us 1nm36ut#aba windows,0
1494,a1378,w4471,1nw36ut#aba,newest hp 14 hd elitebook 745 g3 amd a10 8700b 8gb 256gb ssd radeon r6 no optical win10 1nw36ut#aba unknown,1nw45ut#aba,hp probook 650 g3 15.6 core i7 7820hq 16 gb 256 gb ssd us 1nw45ut#aba windows 10,0
1517,a1391,w2701,dell,2018 dell inspiron 15 5000 5577 15.6 fhd 1080p intel core i5 7300hq 2.5ghz 16gb 256gb ssd 1tb hdd nvidia gtx 1050 4gb windows 10 dell,dell,refurbished dell latitude e5440 intel core i5 1.9ghz 8gb 320gb rom windows 10 ,0
1518,a1391,w4377,dell,2018 dell inspiron 15 5000 5577 15.6 fhd 1080p intel core i5 7300hq 2.5ghz 16gb 256gb ssd 1tb hdd nvidia gtx 1050 4gb windows 10 dell,dell,refurbished dell latitude e6410 w7 14.1 intel i5 520m dual core 2.4ghz 4gb 160gb dvdâ±rw intel microsoft windows,0
1525,a1396,w2599,thinkpad p51,lenovo thinkpad p51 touch windows 10 intel quad core i7 7700hq 16gb 1tb ssd 15.6 fhd ips 1920x1080 touchscreen nvidia quadro m1200m 4gb gpu thinkpad,thinkpad,refurbished lenovo thinkpad t430 i5 2.6ghz 8gb 240ssd windows 10 64 cam ,0
1530,a1400,w2948,lenovo thinkpad p51 workstation,lenovo thinkpad p51 15.6 intel i7 quad core 32gb 1tb ssd 15.6 fhd 1920x1080 ips nvidia quadro m1200m win 10 windows 64 bit,len 15 01217 p71me4,lenovo thinkpad p51s 15.6 intel i7 8gb 240gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me4 microsoft windows,1
1550,a1411,w2549,80xl03bqus,lenovo ideapad 320 80xl03bqus 2.70 ghz 12 gb 256 gb ssd nvidia geforce 940mx 15.6 windows 10 home,80xl03ccus,lenovo ideapad 320 15ikb core i3 4gb 1tb 80xl03ccus windows 10,1
1557,a1414,w1786,80xb0003us,lenovo flex 5 15.6 2 1 intel core i7 16 gb 1tb hdd windows 10 80xb0003us ,80us0003us,lenovo n42 20 chromebook 14 celeron n3060 2 gb 16 gb ssd 80us0003us os,0
1564,a1416,w4586,20jm000bus,lenovo thinkpad t470 20jm000bus 14” fhd ips intel core i7 6500u 2.50ghz 8gb ddr4 windows 7 10 64 professional,20jm000bus,lenovo thinkpad t470 20jm000bus 14 lcd intel core i7 20jm000bus windows,1
1565,a1416,w69,20jm000bus,lenovo thinkpad t470 20jm000bus 14” fhd ips intel core i7 6500u 2.50ghz 8gb ddr4 windows 7 10 64 professional,20gq000bus,lenovo thinkpad p40 yoga 14 core i7 6500u 8 gb 256 gb ssd 20gq000bus windows 10,0
1585,a1429,w3490,xps9550 10000slv,de10020 dell xps 15 9550 15.6 4k touch i7 6700hq nvida gtx960m 16gb 1tb ssd xps9550 10000slv unknown,xps13r2 1100slv,dell 13.3 xps 13 xps13r2 1100slv pc intel core i7 3537u windows 8 microsoft,0
1597,a1439,w1712,nx.gnjaa.002,r751tn c5p3 n3350 1.1g 4gb 32gb acer nx.gnjaa.002 unknown,nx.gjeaa.002,acer chromebook 14 cb3 431 c6zb 14 celeron n3160 4 gb 32 gb ssd us nx.gjeaa.002,0
1609,a1439,w2132,nx.gnjaa.002,r751tn c5p3 n3350 1.1g 4gb 32gb acer nx.gnjaa.002 unknown,nx.gchaa.002,s5 371 3164 i3 6100u 2.3g 4gb 128gb ssd 13.3in 11ac bt4.0 w10h acer nx.gchaa.002 windows,0
1637,a1455,w2005,1ku85ua#aba,hp 14 bw065nr 14 amd dual core e2 9000e 4gb ddr4 32gb emmc 1ku85ua#aba unknown,1ku84ua#aba,hp 14 bw010nr 14 windows 10 amd e2 9000e dual core 4gb 500gb 1ku84ua#aba,1
1667,a1484,w760,hp envy x360,2018 hp envy x360 2 1 15.6 fhd touchscreen amd quad core fx 9800p 2.7ghz 8gb ddr4 256gb ssd 802.11ac 4.0 usb 3.0，hdmi， windows 10 ,hp envy 15t fhd touch,newest hp envy 15t pc full hd touchscreen intel i7 8 gb 1tb hdd 128 gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 ,1
1696,a151,w1718,14 ak040nr,hp chromebook intel celeron n2840 4gb 16gb emmc chrome 14 ak040nr ,14 ak040nr rf,manufacturer hp 14 ak040nr 14 chromebook intel celeron n2840 2.16ghz 4gb 16gb chrome 14 ak040nr rf,1
1700,a1510,w4377,dell,2018 fhd 1080p dell inspiron 15 5000 15.6 touchscreen intel core i5 8250u 3.4ghz 8gb 256gb ssd 1tb hdd intel hd 620 hd windows 10 dell,dell,refurbished dell latitude e6410 w7 14.1 intel i5 520m dual core 2.4ghz 4gb 160gb dvdâ±rw intel microsoft windows,0
1758,a1553,w604,nx.gpnaa.002,acer swift 1 sf113 31 p6xp 13.3 lcd intel pentium n4200 quad core 4 core 1.10 ghz 4 gb ddr3l sdram 64 gb flas nx.gpnaa.002 unknown,nx.gptaa.002,acer chromebook 15 cb515 1ht p39b pentium n4200 1.1 ghz chrome 4 gb 32 gb emmc 15.6 ips touchscreen 1920 x 1080 full hd hd 505 wi fi pure kbd us nx.gptaa.002,0
1764,a1561,w15,i5579 7050gry,dell inspiron 13 i5379 7302gry pus 2 1 pc i5579 7050gry windows 10,i5578 2550gry,dell inspiron 15 5000 2 1 15.6 fhd intel core i7 7500u 8gb 2400mhz ddr4 1tb 5400 rpm intel hd 620 i5578 2550gry windows 10 64bit english,0
1769,a1563,w2958,lenovo thinkpad p51s workstation,lenovo thinkpad p51s 15.6 intel i7 8gb 500gb hdd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 ,len 15 01217 p71me5,lenovo thinkpad p51s 15.6 intel i7 16gb 240gb ssd 15.6 fhd 1920x1080 ips nvidia quadro m520m win 10 len 15 01217 p71me5 microsoft windows,1
1795,a159,w821,p0b78ut#aba,hp chromebook 11 g4 ee 11.6 1366x768 intel celeron n2840 2.16ghz 16gb emmc ssd 4gb chrome p0b78ut#aba,p0b93ut#aba,hp carbon 12.5 elitebook 725 g2 p0b93ut pc amd a10 7350b 4gb touch 180gb solid state windows 10 p0b93ut#aba,0
1821,a1594,w422,hp envy x360 15t ash silver,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 32gb 1tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp x360 15t,hp envy x360 15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2 1 tablet intel i7 32gb 1tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win 10 envy 15t microsoft windows,1
1823,a1594,w441,hp envy x360 15t ash silver,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 32gb 1tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp x360 15t,hp envy x360 15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2 1 tablet intel i7 32gb 1tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win 10 envy 15t microsoft windows,1
1827,a1594,w760,hp envy x360 15t ash silver,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 32gb 1tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp x360 15t,hp envy 15t fhd touch,newest hp envy 15t pc full hd touchscreen intel i7 8 gb 1tb hdd 128 gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 ,1
1834,a1601,w1429,hp pavilion 15t,2018 hp pavilion 15t 15.6 full hd ips touchscreen intel quad core i7 8550u 4ghz 12gb ddr4 1tb hdd hdmi hd usb c windows 10 64 bit,hp pavilion 15t t9y85av,hp pavilion 15t uhd 4k touchscreen intel i7 quad core 32gb nvidia geforce 960m 512gb ssd 15.6 uhd 3840 x 2160 touchscreen windows 10 t9y85av ,1
1848,a1602,w1235,hp 17z laptop,hp 17z 17.3 hd touchscreen amd dual core a6 9220 apu amd radeon r4 16gb 1tb hdd 17.3inch touch 1600x900 wi fi windows 10 michaelelectronics2,hp 17 02340 hdt me7,hp 17z 17.3 hd touchscreen amd dual core a6 9220 apu amd radeon r4 8gb 1tb hdd 17.3inch touch 1600x900 wi fi windows 10 hp 17 02340 hdt me7 microsoft,1
1870,a1602,w826,hp 17z laptop,hp 17z 17.3 hd touchscreen amd dual core a6 9220 apu amd radeon r4 16gb 1tb hdd 17.3inch touch 1600x900 wi fi windows 10 michaelelectronics2,hp 15 02342 hd me1,hp 15z touchscreen 15.6 amd dual core a6 9220 apu amd radeon r4 4gb 1tb hdd 15.6 hd sva wled touch 1366 x 768 windows 10 hp 15 02342 hd me1 microsoft,0
1891,a163,w1038,81ca0008us,lenovo flex 5 15.6 2 1 intel core i5 8250u 8gb ddr4 256gb ssd windows 10 81ca0008us ,81ca000fus,lenovo flex 5 1470 14 fhd touchscreen i7 8550u 8gb 256gb ssd win10 81ca000fus microsoft windows,1
1896,a164,w1994,n5y13ua#aba,hp 15 f222wm 15.6 touch intel quad core pentium n3540 4gb 500gb windows 10 n5y13ua#aba,n5y05ua#aba,hp flyer 15.6 15 f272wm pc intel pentium n3540 4gb 500gb windows 10 n5y05ua#aba,1
1917,a1656,w4107,mjvm2ll a,apple macbook air mjvm2ll a 11.6 1.6 ghz intel core i5 128 gb integrated intel hd 6000 mac x 10.10 yosemite 9.x,mjvm2lla pb rcb wal1,refurbished apple macbook air 11.6 1.6ghz intel i5 4gb 128gb ssd mjvm2lla mjvm2lla pb rcb wal1 x 10.8,1
1934,a1672,w1455,hp pavilion 15 au067cl,hp pavilion 15.6 touchscreen intel i5 6200u 8gb ddr4 1tb hdd 802.11ac b&o windows 10 15 au067cl,hp pavilion 15t,2016 hp pavilion 15t 15.6 fhd touchscreen intel i5 16gb 240gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 microsoft,1
1937,a1672,w1559,hp pavilion 15 au067cl,hp pavilion 15.6 touchscreen intel i5 6200u 8gb ddr4 1tb hdd 802.11ac b&o windows 10 15 au067cl,hp pavilion 15t t9y85av,hp pavilion 15t full hd touchscreen intel i7 quad core 16gb nvidia geforce 960m 2tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 t9y85av ,1
1942,a1672,w794,hp pavilion 15 au067cl,hp pavilion 15.6 touchscreen intel i5 6200u 8gb ddr4 1tb hdd 802.11ac b&o windows 10 15 au067cl,hp pavilion 15t,2016 hp pavilion 15t 15.6 fhd touchscreen intel i5 8gb 512gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 microsoft,1
1979,a17,w2053,nx.gc2aa.007,acer chromebook 14 14 full hd intel celeron quad core n3160 4gb lpddr3 32gb chrome cb3 431 c5fm nx.gc2aa.007,nx.gkkaa.007,acer swift 3 sf314 51 398b 14 windows 10 intel core i3 7100u 4gb 128gb solid state nx.gkkaa.007 microsoft,0
1985,a1700,w1401,new hp omen 17,hp omen 17 17.3 uhd 4k vr ready intel i7 2tb hdd 512gb ssd 17.3 uhd 3840 x 2160 32gb geforce gtx 1070 win 10 hp new,,hp omen 15 15.6 uhd 4k intel i7 quad core 2tb hdd 128gb ssd 15.6 uhd 3840 x 2160 16gb geforce gtx 1050 ti win 10 microsoft windows,0
2041,a1717,w2946,v1p89ut#aba,hp v1p89ut 1040 g3 i5 6200u 14 8gb 128gb v1p89ut#aba windows 7 professional,v1p89ut#aba,hp elitebook 1040 g3 14 core i5 6200u 8 gb 128 gb ssd v1p89ut#aba windows 7,0
2055,a1721,w519,20jd0015us,lenovo thinkpad x1 yoga 2nd gen 20jd0015us 14 fhd 1920 x 1080 ips touchscreen 2 1 intel core i5 7200u 8gb 256gb ssd windows 10 ,20jd000sus,lenovo thinkpad x1 yoga 14 core i7 7600u 16 gb 512 gb ssd 20jd000sus windows 10 ,1
2084,a1728,w3072,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 256gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,0
2090,a1728,w3085,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s touch windows 10 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 touchscreen ,1
2100,a1728,w3096,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 ,1
2107,a1728,w3127,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 8gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
2108,a1728,w3128,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
2111,a1728,w3131,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 8gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
2114,a1728,w3139,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 8.1 intel core i7 6600u 8gb 512gb ssd 14 ips fhd 1920x1080 ,1
2133,a1728,w3168,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 256gb nvme ssd 14 ips fhd 1920x1080 ,1
2175,a1728,w3235,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 256gb ssd 14 ips wqhd 2560x1440 ,1
2225,a1728,w3313,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 7 intel core i7 6600u 20gb 512gb nvme ssd 14 ips fhd 1920x1080 ,1
2229,a1728,w3317,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 512gb nvme ssd 14 ips fhd 1920x1080 ,1
2269,a1728,w3381,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb ssd 14 ips fhd 1920x1080 ,1
2294,a1728,w3413,,lenovo thinkpad t470s windows 10 intel core i7 6600u 8gb 256gb ssd 14 ips fhd 1920x1080 ,,pcie lenovo thinkpad t460s windows 10 intel core i7 6600u 20gb 1tb nvme ssd 14 ips fhd 1920x1080 ,1
2342,a173,w383,dell xps 13 9360 touch laptop,dell xps 13 9360 13.3 infinityedge touchscreen fhd 1920x1080 intel quad core i5 8250u 256gb nvme m.2 ssd 8gb windows 10 ,hp envy x360 15t fhd touch laptop,hp envy x360 convertible 15t fhd touch 2 1 tablet intel i7 32gb 1tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen win 10 envy 15t microsoft windows,0
2351,a1730,w1724,nx.gptaa.002,acer 15.6 intel core pentium 1.1ghz 4gb 32gb chrome cb515 1ht p39b nx.gptaa.002,nx.ghjaa.002,manufacturer acer cb3 532 c47c 15.6 chromebook chrome intel celeron n3060 2gb 16gb nx.ghjaa.002,1
2377,a1730,w700,nx.gptaa.002,acer 15.6 intel core pentium 1.1ghz 4gb 32gb chrome cb515 1ht p39b nx.gptaa.002,nx.gl4aa.002,acer chromebook r 13 cb5 312t k0yq 13.3 mt8173 4 gb 64 gb ssd us nx.gl4aa.002,1
2416,a1747,w157,1bs52ut#aba,hp elitebook 850 g4 15.6 windows intel core i7 2.7 ghz 8 gb 256 gb ssd 1bs52ut#aba 10 edition,1bs69ut#aba,hp probook x360 11 g1 education 11.6 pentium n4200 4 gb 128 gb ssd 1bs69ut#aba windows 10,0
2443,a1753,w224,i5379 7923gry pus,dell inspiron 2 1 13.3 touch intel core i7 8gb 256gb ssd usa i5379 7923gry pus windows 10,i5578 3052gry pus,dell inspiron 15 i5578 3052gry pus 15.6 full hd 2 1 convertible touchscreen intel i3 7100u 8gb 1tb hdd windows,0
2445,a1753,w635,i5379 7923gry pus,dell inspiron 2 1 13.3 touch intel core i7 8gb 256gb ssd usa i5379 7923gry pus windows 10,i5579 7746gry pus,dell inspiron 15 5000 2 1 15.6 fhd intel core i7 8550u 8gb 2400mhz ddr4 256 gb ssd intel uhd 620 i5579 7746gry pus windows 10 english,0
2477,a1774,w993,81c9000hus,lenovo 81c9000hus flex 5 1470 2 1 intel i7 8550u 16gb 1tb hdd 512gb ssd 14 windows 10 home,81c9000eus,lenovo flex 5 14 ips fhd 1920 x 1080 2 1 touchscreen intel i5 8250u 8gb 256gb ssd 2gb nvidia geforce 940mx win 10 active stylus pen tablet 81c9000eus microsoft windows,1
2490,a1780,w760,hp envy 15,hp envy 15t 15.6 touch hd intel core i5 5200u 2.2ghz 6gb 1tb hdmi usb 3.0 ac windows 10 other,hp envy 15t fhd touch,newest hp envy 15t pc full hd touchscreen intel i7 8 gb 1tb hdd 128 gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 ,1
2509,a1791,w345,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,hp 15 02395 fhd me11,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 240gb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me11 microsoft windows,1
2521,a1791,w401,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,hp 15 02395 fhd me26,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 32gb 1tb hdd 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me26 microsoft windows,1
2523,a1791,w434,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,hp 15 02395 fhd me28,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 32gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me28 microsoft windows,1
2524,a1791,w99,,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 512gb ssd 15.6 fhd 1920x1080 touchscreen win 10 windows,hp 15 02395 fhd me21,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 2tb hdd 1tb ssd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me21 microsoft windows,1
2528,a1799,w1429,hp pavilion,2018 hp 15.6 fhd 1080p intel core i7 7500u 3.5 ghz 12gb ddr4 256gb ssd no windows 10 pavilion,hp pavilion 15t t9y85av,hp pavilion 15t uhd 4k touchscreen intel i7 quad core 32gb nvidia geforce 960m 512gb ssd 15.6 uhd 3840 x 2160 touchscreen windows 10 t9y85av ,1
2533,a1799,w1559,hp pavilion,2018 hp 15.6 fhd 1080p intel core i7 7500u 3.5 ghz 12gb ddr4 256gb ssd no windows 10 pavilion,hp pavilion 15t t9y85av,hp pavilion 15t full hd touchscreen intel i7 quad core 16gb nvidia geforce 960m 2tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 t9y85av ,1
2534,a1799,w1578,hp pavilion,2018 hp 15.6 fhd 1080p intel core i7 7500u 3.5 ghz 12gb ddr4 256gb ssd no windows 10 pavilion,hp pavilion 15t t9y85av,hp pavilion 15t full hd touchscreen intel i7 quad core 16gb nvidia geforce 960m 2tb hdd 512gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 t9y85av ,1
2543,a1815,w93,hp envy 15 u010dx x360,hp envy x360 2 1 15.6 touch intel core i5 8gb 750gb hp envy 15 u010dx x360 windows 10,w2k45ua#aba,hp envy x360 2 1 15.6 touch intel core i5 12gb 1tb silvernotebook tablet pc touchscreen m6 aq103dx w2k45ua#aba microsoft windows,1
2568,a183,w3820,md101ll a,apple macbook 13 mid 2012 core i5 2.5ghz 4gb 500gb hdd md101ll a x el capitan,md101ll a,certified apple macbook 13 2.5ghz core i5 4gb 500gb md101ll a grade b x,1
2575,a1831,w155,1bs33ut#aba,hp zbook 15u g4 15.6 windows intel core i7 2.7 ghz 8 gb 256 gb ssd amd firepro w4190m space 1bs33ut#aba 10,1bs68ut#aba,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd 1bs68ut#aba unknown,0
2591,a1838,w2986,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 8.1 intel core i7 6500u 256gb nvme ssd 8gb 14 fhd ips 1920x1080 intel hd 520 ,1
2612,a1838,w3087,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 256gb ssd 14 ips fhd 1920x1080 ,0
2613,a1838,w3088,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,,lenovo thinkpad t460s windows 10 intel core i7 6600u 12gb 128gb ssd 14 ips fhd 1920x1080 ,0
2619,a1838,w3105,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 512gb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,1
2633,a1838,w3179,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 7 intel core i7 6600u 256gb ssd 16gb 14 wqhd ips 2560x1440 intel hd 520 ,1
2654,a1838,w3286,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb nvme ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,1
2659,a1838,w3297,,lenovo thinkpad x1 carbon 4 windows 10 intel core i7 6600u 1tb ssd 16gb 14 fhd ips 1920x1080 intel hd 520 ,,lenovo thinkpad t460s windows 7 intel core i7 6600u 12gb 1tb ssd 14 ips fhd 1920x1080 ,0
2700,a1879,w921,v1h18ut#aba,hp elitebook 850 g3 pc v1h18ut#aba intel i5 6200u 8gb 256gb ssd 15.6 fhd win10 pro64 windows 7 professional,v1h65ut#aba,hp zbook 15u g3 15.6 core i7 6500u 16 gb 512 gb ssd v1h65ut#aba windows 10 ,0
2715,a1887,w1455,hp pavilion 15t power acid green nb,hp pavilion 15t power intel i7 quad core 32gb nvidia geforce 1050 2tb hdd 512gb ssd 15.6 full hd 1920 x 1080 touch win 10 acid green hp acid nb windows,hp pavilion 15t,2016 hp pavilion 15t 15.6 fhd touchscreen intel i5 16gb 240gb ssd 15.6 fhd 1920 x 1080 touchscreen windows 10 microsoft,1
