id,product_title,brand,model,operating_system,extended_title
w219,vivobook flip 14 tp410ua i7 7500u 16 gb 256 gb ssd 14 windows 10 touchscreen notebook,asus,90nb0fs1 m05840,windows 10,vivobook flip 14 tp410ua i7 7500u 16 gb 256 gb ssd 14 windows 10 touchscreen asus 90nb0fs1 m05840
w220,hp elite x2 1012 g1 12 core m5 6y54 4 gb 128 gb ssd hp elite x2 1012 g1 travel hp active pen,hp,t8z04ut#aba,windows 10,hp elite x2 1012 g1 12 core m5 6y54 4 gb 128 gb ssd hp elite x2 1012 g1 travel hp active pen t8z04ut#aba windows
w221,lenovo thinkpad x1 tablet 12 core m5 6y57 4 gb 128 gb ssd,lenovo,20gg001vus,windows 10,lenovo thinkpad x1 tablet 12 core m5 6y57 4 gb 128 gb ssd 20gg001vus windows 10
w222,dell inspiron 11 3168 intel pentium n3710 x4 1.6ghz 4gb 500gb 11.6 ,dell,1471661674 rfb,windows 10,dell inspiron 11 3168 intel pentium n3710 x4 1.6ghz 4gb 500gb 11.6 1471661674 rfb windows
w223,dell latitude 12 5285 intel core i5 7300u x2 2.6ghz 8gb 256gb ssd black  ,dell,1499098880 rfb,microsoft windows 10professional,dell latitude 12 5285 intel core i5 7300u x2 2.6ghz 8gb 256gb ssd black  1499098880 rfb microsoft windows 10professional
w224,dell inspiron 15 i5578 3052gry pus 15.6 full hd 2 1 convertible touchscreen intel i3 7100u 8gb 1tb hdd,dell,i5578 3052gry pus,windows 10,dell inspiron 15 i5578 3052gry pus 15.6 full hd 2 1 convertible touchscreen intel i3 7100u 8gb 1tb hdd windows
w225,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 2tb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 ,michaelelectronics2,hp 15 02403 amd me3,microsoft windows,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 2tb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 hp 15 02403 amd me3 microsoft windows
w226,lenovo yoga 900 13.3 2 1 touch i7 16gb 512gb ssd 13.3 qhd multi touch disply 3200x1800 win10 silver,lenovo,,,lenovo yoga 900 13.3 2 1 touch i7 16gb 512gb ssd 13.3 qhd multi touch disply 3200x1800 win10 
w227,refurbished hp envy x360 n5s77ua 15 u493cl convertible pc intel core i7 6500u 2.5 ghz dual core 12 gb ddr3l sdram 1 tb 15.6 touch windows,,,,refurbished hp envy x360 n5s77ua 15 u493cl convertible pc intel core i7 6500u 2.5 ghz dual core 12 gb ddr3l sdram 1 tb 15.6 touch windows 
w228,dell inspiron 15 7000 series i7568 5249t convertible pc ,dell,,windows 10 edition,dell inspiron 15 7000 series i7568 5249t convertible pc windows 10 edition
w229,lenovo thinkpad x1 yoga 4g lte multimode windows 10 intel i7 7600u 2tb ssd nvme 16gb 14 wqhd ips 2560x1440 touchscreen w pen input silver,lenovo,,windows 10,lenovo thinkpad x1 yoga 4g lte multimode windows 10 intel i7 7600u 2tb ssd nvme 16gb 14 wqhd ips 2560x1440 touchscreen w pen input 
w230,dell latitude 7214 l7214 h5nwny1 rugged convertible pc ,dell,,windows 10 edition,dell latitude 7214 l7214 h5nwny1 rugged convertible pc windows 10 edition
w231,refurbished acer 12.5 intel core m 0.80 ghz 4 gb 128 gb ssd windows 8.1 sw5 271 64v2,acer,nt.l7faa.006,windows 8,refurbished acer 12.5 intel core m 0.80 ghz 4 gb 128 gb ssd windows 8.1 sw5 271 64v2 nt.l7faa.006
w232,refurbished acer intel pentium 1.10 ghz 4 gb 64gb ssd windows 10 home,acer,nx.grmaa.006,windows 10,refurbished acer intel pentium 1.10 ghz 4 gb 64gb ssd windows 10 nx.grmaa.006
w233,refurbished dell xps 12 convertible 9q33 12.5 1920x1080 i5 4200u 4gb 128gb ssd touch windows 10,hp,,microsoft windows,refurbished dell xps 12 convertible 9q33 12.5 1920x1080 i5 4200u 4gb 128gb ssd touch windows 10 hp microsoft
w234,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 32gb 2tb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash silver,michaelelectronics2,hp 15 02336 x360 fhd me20,microsoft windows,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 32gb 2tb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp 15 02336 x360 fhd me20 microsoft windows
w235,topseller x1 tablet 12in 256gb ssd w10p 64bit keyb pen,lenovo,20gg001nus,windows 10,topseller x1 tablet 12in 256gb ssd w10p 64bit keyb pen lenovo 20gg001nus windows
w236,microsoft surface book 13.5 core i5 6300u 8 gb 512 gb ssd north america,microsoft,9eq 00001,microsoft windows windows 10,microsoft surface book 13.5 core i5 6300u 8 gb 512 gb ssd north america 9eq 00001 windows windows 10
w237,lenovo recertified yoga 910 13ikb 2 1 core i7 7500u 2.7ghz 1tbssd 16gb 13.9 uhd 3840x2160 ips touchscreen bt win10 keyboard,lenovo,910 13ikb,windows 10,lenovo recertified yoga 910 13ikb 2 1 core i7 7500u 2.7ghz 1tbssd 16gb 13.9 uhd 3840x2160 ips touchscreen bt win10 910 13ikb windows
w238,refurbished acer 11.6 intel pentium 1.10 ghz 4 gb 60 gb ssd windows 8 p3 131 21294g06as,acer,nx.m93aa.001,microsoft windows,refurbished acer 11.6 intel pentium 1.10 ghz 4 gb 60 gb ssd windows 8 p3 131 21294g06as nx.m93aa.001 microsoft
w239,hp envy x360 w8q19ax convertible pc intel core ,hp,,windows 10 edition,hp envy x360 w8q19ax convertible pc intel core windows 10 edition
w240,lenovo yoga y720 13 convertible 2 1 pc intel 8th gen i7 quad core 13.3 1920x1080 full hd touch 16gb 1tb ssd thunderbolt win 10 ,michaelelectronics2,len 13 01235 fhd me5,microsoft windows,lenovo yoga y720 13 convertible 2 1 pc intel 8th gen i7 quad core 13.3 1920x1080 full hd touch 16gb 1tb ssd thunderbolt win 10 len 13 01235 fhd me5 microsoft windows
w241,lenovo yoga y720 13 convertible 2 1 pc intel 8th gen i7 quad core 13.3 1920x1080 full hd touch 16gb 512gb ssd thunderbolt win 10 ,michaelelectronics2,len 13 01235 fhd me1,microsoft windows,lenovo yoga y720 13 convertible 2 1 pc intel 8th gen i7 quad core 13.3 1920x1080 full hd touch 16gb 512gb ssd thunderbolt win 10 len 13 01235 fhd me1 microsoft windows
w242,lenovo thinkpad x1 yoga 4g lte multimode windows 10 intel i7 7600u 2tb ssd nvme 16gb 14 wqhd ips 2560x1440 touchscreen w pen input black,lenovo,,windows 10,lenovo thinkpad x1 yoga 4g lte multimode windows 10 intel i7 7600u 2tb ssd nvme 16gb 14 wqhd ips 2560x1440 touchscreen w pen input 
w243,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd,hp,1fy91ut#aba,windows 10,hp probook x360 11 g1 education 11.6 celeron n3350 4 gb 128 gb ssd 1fy91ut#aba windows 10
w244,refurbished panasonic toughbook c2 cf c2ccazxcm convertible 12.5 convertible laptop,panasonic,cf c2ccazxcm,microsoft windows,refurbished panasonic toughbook c2 cf c2ccazxcm convertible 12.5 convertible cf c2ccazxcm microsoft windows
w245,smart probook x360 11 g1 ee n3350 11.6in 4gb 64gb,hp,1nm43ut#aba,unknown,smart probook x360 11 g1 ee n3350 11.6in 4gb 64gb hp 1nm43ut#aba unknown
w246,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 500gb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 ,michaelelectronics2,hp 15 02403 amd me10,microsoft windows,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 500gb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 hp 15 02403 amd me10 microsoft windows
w247,refurbished acer nitro spin 5 intel core i7 1.8 ghz 8 gb 1tb hdd windows 10 home,acer,nh.q2yaa.002,windows 10,refurbished acer nitro spin 5 intel core i7 1.8 ghz 8 gb 1tb hdd windows 10 nh.q2yaa.002
w248,refurbished hp probook x360 g1 z4z55aw convertible pc intel pentium n4200 1.1 ghz quad core 8 gb ddr3l sdram 128 gb solid state 11.6 touchscreen ,,,,refurbished hp probook x360 g1 z4z55aw convertible pc intel pentium n4200 1.1 ghz quad core 8 gb ddr3l sdram 128 gb solid state 11.6 touchscreen 
w249,lenovo thinkpad x1 yoga 4g lte multimode windows 10 intel i7 7600u 2tb ssd nvme 16gb 14 fhd ips 1920x1080 touchscreen w pen input silver,lenovo,,windows 10,lenovo thinkpad x1 yoga 4g lte multimode windows 10 intel i7 7600u 2tb ssd nvme 16gb 14 fhd ips 1920x1080 touchscreen w pen input 
w250,superb choice® 45w adapter for hp pc convertible x360 15 u002xx 15 u050ca,superb choice,,,superb choice® 45w adapter for hp pc convertible x360 15 u002xx 15 u050ca 
w251,mightyskins protective vinyl skin decal for lenovo yoga 900 13.3 wrap cover sticker skins solid white,mightyskins,leny90013 solid white,,mightyskins protective vinyl skin decal for lenovo yoga 900 13.3 wrap cover sticker skins solid mightyskins leny90013 solid
w252,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 u310nr 15 u337cl 15 u363cl 15 u399nr 15 u410nr 15 u437cl 15 u473cl,hp,,,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 u310nr 15 u337cl 15 u363cl 15 u399nr 15 u410nr 15 u437cl 15 u473cl 
w253,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 aq123ca 15 aq155nr 15 aq156nr 15 aq165nr 15 aq166nr 15 aq173cl 15 aq193ms,hp,,,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 aq123ca 15 aq155nr 15 aq156nr 15 aq165nr 15 aq166nr 15 aq173cl 15 aq193ms 
w254,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 w117cl 15 w158ca 15 w191ms 15 w237cl 15 w267cl 15 w291ms 15m bp011dx,hp,,,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 w117cl 15 w158ca 15 w191ms 15 w237cl 15 w267cl 15 w291ms 15m bp011dx 
w255,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 ar010ca 15 bp010ca 15 bp018ca 15 bp051nr 15 bq008ca 15 bq051nr 15 bq075nr,hp,,,original hp 45w ac charger power adapter cord for hp envy x360 convertible 15 ar010ca 15 bp010ca 15 bp018ca 15 bp051nr 15 bq008ca 15 bq051nr 15 bq075nr 
w256,refurbished direkt tek dtlapy116 1 sl 11.6 4gb 32gb hb convertible touchscreen windows 10 silver,direkt tek,dtlapy116 1 sl,microsoft windows,refurbished direkt tek dtlapy116 1 sl 11.6 4gb 32gb hb convertible touchscreen windows 10 microsoft
w257,manufacturer hp 10 p010nr 10.1 touch intel atom x5 z8350 1.44ghz 2gb 32gb windows 10,hp,10 p010nr rf,windows 10,manufacturer hp 10 p010nr 10.1 touch intel atom x5 z8350 1.44ghz 2gb 32gb windows 10 10 p010nr rf
w258,bitt core 10.1 touchscreen hybrid netbook w intel atom x5 4gb & 32gb ssd,bit,core ,microsoft windows,bitt core 10.1 touchscreen hybrid netbook w intel atom x5 4gb & 32gb ssd core microsoft windows
w259,asus transformer book t100 chi 10.1 full hd touchscreen detachable 2 1 intel quad core 128 gb 4gb windows 10,asus,,,asus transformer book t100 chi 10.1 full hd touchscreen detachable 2 1 intel quad core 128 gb 4gb windows 10 
w260,refurbished acer 10.1 intel atom x5 1.44 ghz 2 gb 64 gb windows 10 professional,acer,nt.laxaa.001,windows 10,refurbished acer 10.1 intel atom x5 1.44 ghz 2 gb 64 gb windows 10 nt.laxaa.001
w261,dell inspiron 11 3168 intel pentium n3710 x4 1.6ghz 4gb 500gb 11.6dark ,dell,1472669482 rfb,windows 10,dell inspiron 11 3168 intel pentium n3710 x4 1.6ghz 4gb 500gb 11.6dark 1472669482 rfb windows
w262,dell latitude 3189 knn4x 2 1 convertible pc intel ,dell,,windows 10,dell latitude 3189 knn4x 2 1 convertible pc intel windows 10
w263,fusion5 13.3 convertible 360째 t80 windows full hd multi touch 360째 convertible 4gb 64gb windows 10 intel quadcore ips ,fusion5,,microsoft windows,fusion5 13.3 convertible 360째 t80 windows full hd multi touch 360째 convertible 4gb 64gb windows 10 intel quadcore ips microsoft
w264,refurbished hewlett packard hp elitepad 900 atom z2760 10.1 wxga ag uwva t,hp,,,refurbished hewlett packard hp elitepad 900 atom z2760 10.1 wxga ag uwva t hp
w265,dell inspiron i31790000gry 11.6 touchscreen windows 10 intel core m3 7y30 4gb 500gb drive,dell,i31790000gry,windows 10,dell inspiron i31790000gry 11.6 touchscreen windows 10 intel core m3 7y30 4gb 500gb i31790000gry
w266,refurbished dell i5368 4071gry 13.3 fhd 2 1 intel core i5 6200u 2.3ghz 4 gb 128 gb sdd windows 10 gray,dell,i5368 4071gry pb rc,,refurbished dell i5368 4071gry 13.3 fhd 2 1 intel core i5 6200u 2.3ghz 4 gb 128 gb sdd windows 10 i5368 4071gry pb rc
w267,refurbished hp e3q88up elitebook revolve 810 g1 tablet convertible core i5,hp,,,refurbished hp e3q88up elitebook revolve 810 g1 tablet convertible core i5 
w268,refurbished hp e3q88up elitebook revolve 810 g1 tablet convertible core i5 3437u 1.9 ghz windows 7 ,hp,,microsoft windows,refurbished hp e3q88up elitebook revolve 810 g1 tablet convertible core i5 3437u 1.9 ghz windows 7 microsoft
w269,refurbished 2qu8066 hp elitepad 900 g1 d3h86ut 10.1quot 64gb slate net tabl,intel,,,refurbished 2qu8066 hp elitepad 900 g1 d3h86ut 10.1quot 64gb slate net tabl intel
w270,dell inspiron 13 5000 2 1 intel i3 7100u 1tb hdd 4gb windows 10 home,dell,,windows 10 english,dell inspiron 13 5000 2 1 intel i3 7100u 1tb hdd 4gb windows 10 english
w271,hp probook x360 g1 z4z55aw convertible pc intel ,hp,z4z55aw,windows 10,hp probook x360 g1 z4z55aw convertible pc intel z4z55aw windows 10
w272,lenovo thinkpad yoga 11e 11.6 celeron n3160 4 gb 128 gb ssd,lenovo,20ga001fus,windows 10,lenovo thinkpad yoga 11e 11.6 celeron n3160 4 gb 128 gb ssd 20ga001fus windows 10
w273,lenovo thinkpad yoga 11e 11.6 celeron n3450 4 gb 128 gb ssd,lenovo,20hu0003us,windows 10 ,lenovo thinkpad yoga 11e 11.6 celeron n3450 4 gb 128 gb ssd 20hu0003us windows 10 
w274,dell latitude 13 3379 intel core i5 6300u x2 2.3ghz 8gb 256gb ssd gray  ,dell,1492163469 rfb,microsoft windows 10professional,dell latitude 13 3379 intel core i5 6300u x2 2.3ghz 8gb 256gb ssd gray  1492163469 rfb microsoft windows 10professional
w275,refurbished panasonic toughbook 19 cf 19aduag1m 4 gb convertible 10 semi rugged laptop,panasonic,,microsoft windows,refurbished panasonic toughbook 19 cf 19aduag1m 4 gb convertible 10 semi rugged microsoft windows
w276,dell latitude 3189 knn4x 2 1 convertible pc intel ,dell,,windows 10,dell latitude 3189 knn4x 2 1 convertible pc intel windows 10
w277,lenovo thinkpad yoga 11e 11.6 celeron n3160 4 gb 128 gb ssd,lenovo,20gas00t00,windows 10 ,lenovo thinkpad yoga 11e 11.6 celeron n3160 4 gb 128 gb ssd 20gas00t00 windows 10 
w278,lenovo 14 flex 2 59423168 4th intel core i7 4510u vibrant hd 10 point multi touch touch 8gb pc3 12800 ddr3l sdram 1600 mhz hybrid 1tb 5400 rpm 8gb ssh,lenovo,59423168,,lenovo 14 flex 2 59423168 4th intel core i7 4510u vibrant hd 10 point multi touch touch 8gb pc3 12800 ddr3l sdram 1600 mhz hybrid 1tb 5400 rpm 8gb ssh 
w279,refurbished panasonic toughbook c2 cf c2ccazxcm convertible 12.5 semi rugged 8 gb ram,panasonic,cf c2ccazxcm,microsoft windows,refurbished panasonic toughbook c2 cf c2ccazxcm convertible 12.5 semi rugged 8 gb cf c2ccazxcm microsoft windows
w280,dell inspiron i5368 10025gry 2 1 pc intel core ,dell,i5368 10025gry,windows 10 edition,dell inspiron i5368 10025gry 2 1 pc intel core i5368 10025gry windows edition
w281,dell latitude 5289 l5289 gwph3g2 convertible pc intel ,dell,,windows 10 edition,dell latitude 5289 l5289 gwph3g2 convertible pc intel windows 10 edition
w282,refurbished acer aspire r 14 15.6 touch convertible intel i7 dual core 8gb 512gb,acer,r5 471t 79yn fb r,,refurbished acer aspire r 14 15.6 touch convertible intel i7 dual core 8gb 512gb r5 471t 79yn fb r
w283,lenovo thinkpad yoga 11e 11.6 celeron n3450 8 gb 128 gb ssd,lenovo,20hu0004us,microsoft windows windows 10 ,lenovo thinkpad yoga 11e 11.6 celeron n3450 8 gb 128 gb ssd 20hu0004us microsoft windows windows 10 
w284,refurbished hp elitebook revolve 810 g3 tablet convertible core i5 5300u ,sony,,,refurbished hp elitebook revolve 810 g3 tablet convertible core i5 5300u sony
w285,refurbished hp elitebook revolve 810 g2 tablet convertible core i7 4600u 2.1 ghz windows 7 ,hp,,,refurbished hp elitebook revolve 810 g2 tablet convertible core i7 4600u 2.1 ghz windows 7 hp
w286,refurbished hp elitebook e1y30ut 15.6 intel core i5 2.70 ghz platinum,hp,e1y30ut,,refurbished hp elitebook e1y30ut 15.6 intel core i5 2.70 ghz platinum e1y30ut
w287,refurbished hp elitebook revolve 810 g2 tablet pc 11.6quot intel core i7 i7 4600u 2.1ghz,hp,,,refurbished hp elitebook revolve 810 g2 tablet pc 11.6quot intel core i7 i7 4600u 2.1ghz 
w288,refurbished hp f1t14us elitebook revolve 810 g1 tablet pc 11.6 lan intel core i7 i7 3687u 2.10 ghz 12 gb ,hp,f1t14us,,refurbished hp f1t14us elitebook revolve 810 g1 tablet pc 11.6 lan intel core i7 i7 3687u 2.10 ghz 12 gb f1t14us
w289,hp envy x360 2 1 15.6 ips fhd touch amd quad core fx 9800p upto 3.6ghz 8gb ddr4 256gb ssd amd radeon r7 hdmi bt windows 10 64bit,hp,hpenvy360afxt 8256p,microsoft windows,hp envy x360 2 1 15.6 ips fhd touch amd quad core fx 9800p upto 3.6ghz 8gb ddr4 256gb ssd amd radeon r7 hdmi bt windows 10 64bit hpenvy360afxt 8256p microsoft
w290,refurbished hp elitebook revolve 810 g2 tablet convertible core i5 4310u 1.9 ghz windows 7 ,hp,,microsoft windows,refurbished hp elitebook revolve 810 g2 tablet convertible core i5 4310u 1.9 ghz windows 7 hp microsoft
w291,lenovo thinkpad yoga 260 20fd002hus 12.5 2 1 intel ,lenovo,20fd002hus,windows 10 edition,lenovo thinkpad yoga 260 20fd002hus 12.5 2 1 intel 20fd002hus windows 10 edition
w292,lenovo thinkpad yoga 11e 11.6 celeron n3160 8 gb 128 gb ssd,lenovo,20ga001eus,windows 10,lenovo thinkpad yoga 11e 11.6 celeron n3160 8 gb 128 gb ssd 20ga001eus windows 10
w293,hp probook x360 11 g2 education 11.6 core m3 7y30 4 gb 128 gb ssd us,hp,2ez89ut#aba,windows 10,hp probook x360 11 g2 education 11.6 core m3 7y30 4 gb 128 gb ssd us 2ez89ut#aba windows 10
w294,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 500gb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 ,michaelelectronics2,hp 15 02403 amd me11,microsoft windows,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 500gb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 hp 15 02403 amd me11 microsoft windows
w295,panasonic toughbook 19 cf 19aduag1m 8 gb convertible 10.1 semi rugged 8gb ram,panasonic,cf 19aduag1m,microsoft windows,panasonic toughbook 19 cf 19aduag1m 8 gb convertible 10.1 semi rugged 8gb cf 19aduag1m microsoft windows
w296,refurbished hp elitebook revolve 810 g1 11.6 convertible 2 1 touchscre,lenovo,,,refurbished hp elitebook revolve 810 g1 11.6 convertible 2 1 touchscre lenovo
w297,lenovo thinkpad yoga 11e 11.6 core i3 7100u 8 gb 128 gb ssd,lenovo,20hu0000us,windows 10 ,lenovo thinkpad yoga 11e 11.6 core i3 7100u 8 gb 128 gb ssd 20hu0000us windows 
w298,refurbished hp elitebook 2760p qu782us 12.1 convertible tablet pc wi fi intel core i5 i5 2520m 2.5ghz,hp,,microsoft windows,refurbished hp elitebook 2760p qu782us 12.1 convertible tablet pc wi fi intel core i5 i5 2520m 2.5ghz microsoft windows
w299,refurbished hp elitebook 2760p sp200up 12.1 convertible tablet pc hspa intel core i5 i5 2540m 2.6ghz,hp,,microsoft windows,refurbished hp elitebook 2760p sp200up 12.1 convertible tablet pc hspa intel core i5 i5 2540m 2.6ghz microsoft windows
w300,lenovo 12.2 miix 510 multi touch 2 1 notebook,lenovo,,microsoft windows,lenovo 12.2 miix 510 multi touch 2 1 microsoft windows
w301,refurbished hp elitebook revolve 810 g3 tablet convertible core i5 5300u 2.3 ghz,hp,,,refurbished hp elitebook revolve 810 g3 tablet convertible core i5 5300u 2.3 ghz 
w302,manufacturer acer aspire r7 372t 74b3 13.3 touchscreen 2 1 windows 10 intel core i7 6500u 8gb 512gb solid state drive,acer,nx.g8saa.008,windows 10,manufacturer acer aspire r7 372t 74b3 13.3 touchscreen 2 1 windows 10 intel core i7 6500u 8gb 512gb solid state nx.g8saa.008
w303,hp probook x360 11 g2 education 11.6 core m3 7y30 8 gb 128 gb ssd us,hp,2ez90ut#aba,windows 10,hp probook x360 11 g2 education 11.6 core m3 7y30 8 gb 128 gb ssd us 2ez90ut#aba windows 10
w304,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 1tb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 ,michaelelectronics2,hp 15 02403 amd me4,microsoft windows,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 1tb hdd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 hp 15 02403 amd me4 microsoft windows
w305,hp probook x360 11 g2 education 11.6 core m3 7y30 8 gb 256 gb ssd us,hp,2ez91ut#aba,windows 10,hp probook x360 11 g2 education 11.6 core m3 7y30 8 gb 256 gb ssd us 2ez91ut#aba windows 10
w306,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 512gb ssd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 ,michaelelectronics2,hp 15 02403 amd me7,microsoft windows,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 512gb ssd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 hp 15 02403 amd me7 microsoft windows
w307,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 240gb ssd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 ,michaelelectronics2,hp 15 02403 amd me8,microsoft windows,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 240gb ssd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 hp 15 02403 amd me8 microsoft windows
w308,refurbished hp elitebook revolve 810 g2 tablet pc . 11.6 . lan . intel core i7 i7. 4600u 2.10 ghz . 8 gb . 256 gb ssd .,hp,,microsoft windows,refurbished hp elitebook revolve 810 g2 tablet pc . 11.6 . lan . intel core i7 i7. 4600u 2.10 ghz . 8 gb . 256 gb ssd . hp microsoft windows
w309,hp envy x360 2 1 15.6 ips fhd touch amd quad core fx 9800p upto 3.6ghz 8gb ddr4 512gb ssd amd radeon r7 hdmi bt windows 10 64bit,hp,hpenvy360afxt 8512p,microsoft windows,hp envy x360 2 1 15.6 ips fhd touch amd quad core fx 9800p upto 3.6ghz 8gb ddr4 512gb ssd amd radeon r7 hdmi bt windows 10 64bit hpenvy360afxt 8512p microsoft
w310,dell latitude 7275 12.5 core m5 6y57 8 gb 256 gb ssd,dell,59c32,microsoft windows windows 10,dell latitude 7275 12.5 core m5 6y57 8 gb 256 gb ssd 59c32 microsoft windows windows 10
w311,refurbished hp elitebook 2760p c7l81up 12.1 convertible tablet pc wi fi intel core i5 i5 2520m 2.5ghz,hp,,microsoft windows,refurbished hp elitebook 2760p c7l81up 12.1 convertible tablet pc wi fi intel core i5 i5 2520m 2.5ghz microsoft windows
w312,refurbished hp elitebook revolve 810 g2 tablet convertible core i7 4600u 2.1 ghz windows 7 windows 7 8 gb 256 gb ssd,hp,,microsoft windows,refurbished hp elitebook revolve 810 g2 tablet convertible core i7 4600u 2.1 ghz windows 7 windows 7 8 gb 256 gb ssd hp microsoft
w313,hp elite x2 1011 g1 tablet dock core m 5y71 1.2 ghz win 8.1 8 gb 256 gb ssd 11.6 ips touchscreen 1920 x 1080 full hd hd 5300 wi fi 802.11ad wigig 4g kbd us promo,intel,l8d71ut#aba,microsoft windows,hp elite x2 1011 g1 tablet dock core m 5y71 1.2 ghz win 8.1 8 gb 256 gb ssd 11.6 ips touchscreen 1920 x 1080 full hd hd 5300 wi fi 802.11ad wigig 4g kbd us promo intel l8d71ut#aba microsoft windows
w314,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 8gb 240gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash silver,michaelelectronics2,hp 15 02336 x360 fhd me4,microsoft windows,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 8gb 240gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp 15 02336 x360 fhd me4 microsoft windows
w315,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 2tb hdd 15.6 fhd 1920x1080 touchscreen win 10 ,michaelelectronics2,hp 15 02395 fhd me7,microsoft windows,hp envy x360 15z yoga 2 1 convertible amd ryzen 5 quad core apu radeon vega 8 16gb 2tb hdd 15.6 fhd 1920x1080 touchscreen win 10 hp 15 02395 fhd me7 microsoft windows
w316,fujitsu lifebook p727 xbuy p727 001 convertible pc ,fujitsu,xbuy p727 001,windows 10 edition,fujitsu lifebook p727 xbuy p727 001 convertible pc xbuy p727 001 windows 10 edition
w317,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 16gb 1tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash silver,michaelelectronics2,hp 15 02336 x360 fhd me9,microsoft windows,hp envy x360 15t 2 1 convertible pc amd 7th gen quad core fx 9800p apu amd radeon r7 16gb 1tb hdd 128gb ssd 15.6 fhd 1920 x 1080 touchscreen win10 ash hp 15 02336 x360 fhd me9 microsoft windows
w318,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 512gb ssd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 ,michaelelectronics2,hp 15 02403 amd me9,microsoft windows,hp pavilion x360 convertible 15.6 yoga 2 1 pc intel i5 8gb 512gb ssd 128gb ssd 15.6 fhd 1920x1080 touch amd radeon 530 stylus win 10 hp 15 02403 amd me9 microsoft windows
w319,refurbished hp elitebook 2760p sp200up 12.1 convertible tablet pc hspa intel core i5 i5 2540m 2.6ghz,hp,sp200up,,refurbished hp elitebook 2760p sp200up 12.1 convertible tablet pc hspa intel core i5 i5 2540m 2.6ghz sp200up
w320,hp envy x360 2 1 15.6 ips fhd touch amd quad core fx 9800p upto 3.6ghz 16gb ddr4 512gb ssd amd radeon r7 hdmi bt windows 10 64bit,hp,hpenvy360afxt 16512p,microsoft windows,hp envy x360 2 1 15.6 ips fhd touch amd quad core fx 9800p upto 3.6ghz 16gb ddr4 512gb ssd amd radeon r7 hdmi bt windows 10 64bit hpenvy360afxt 16512p microsoft
